0,1,2,3,4,5,6,7,8,9,10,11,12
4,12000,48000,0,26694,493,1157,27851,49157,0,0,26694,48000
5,12000,60000,0,35423,636,1812,37235,61812,0,0,35423,60000
6,12000,72000,0,44640,781,2625,47265,74625,0,0,44640,72000
7,12000,84000,0,54366,929,3600,57966,87600,0,0,54366,84000
8,12000,96000,0,64624,1079,4742,69365,100742,0,0,64624,96000
9,12000,108000,0,75436,1232,6057,81493,114057,0,0,75436,108000
10,12000,120000,0,86827,1388,7551,94378,127551,0,0,86827,120000
15,0,120000,0,103913,1513,15802,119715,135802,0,0,103913,120000
20,0,120000,0,124742,1653,25491,150234,150234,0,0,124742,124742
25,0,120000,149951,0,1805,36823,186773,186773,0,0,149951,149951
