保单 年度,被保险人 年龄,期交 保险费,累计 保险费,轻度疾病 保险金,中症疾病 保险金,重大疾病 保险金,少儿特定重 疾保险金,现金价值 (退保金)
1,1,2000,2000,200000,500000,1000000,1000000,0
2,2,2000,4000,200000,500000,1000000,1000000,0
3,3,2000,6000,200000,500000,1000000,1000000,0
4,4,2000,8000,200000,500000,1000000,1000000,0
5,5,2000,10000,200000,500000,1000000,1000000,700
6,6,2000,12000,200000,500000,1000000,1000000,1600
7,7,2000,14000,200000,500000,1000000,1000000,2500
8,8,2000,16000,200000,500000,1000000,1000000,3400
9,9,2000,18000,200000,500000,1000000,1000000,4500
10,10,2000,20000,200000,500000,1000000,1000000,5600
11,11,2000,22000,200000,500000,1000000,1000000,6700
12,12,2000,24000,200000,500000,1000000,1000000,8000
13,13,2000,26000,200000,500000,1000000,1000000,9200
14,14,2000,28000,200000,500000,1000000,1000000,10600
15,15,2000,30000,200000,500000,1000000,1000000,12000
