年龄.年龄.年龄,昂贵医院0%赔付，1万元免赔额.有基本医疗保险或公费医疗.中国 （含港澳台）,昂贵医院0%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院0%赔付，1万元免赔额.无基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院0%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球
0,"8,335","10,466","15,102","8,500","10,656","15,365"
1,"7,788","9,782","14,115","7,944","9,960","14,360"
2,"7,419","9,315","13,440","7,567","9,485","13,674"
3,"7,145","8,972","12,945","7,289","9,136","13,170"
4,"6,871","8,629","12,450","7,011","8,786","12,667"
5,"6,600","8,289","11,960","6,733","8,439","12,168"
6,"6,328","7,945","11,465","6,456","8,090","11,665"
7,"6,057","7,605","10,973","6,178","7,743","11,163"
8,"5,783","7,262","10,478","5,900","7,394","10,660"
9,"5,506","6,914","9,976","5,618","7,040","10,149"
10,"5,228","6,566","9,473","5,336","6,686","9,638"
11,"4,952","6,219","8,971","5,050","6,332","9,127"
12,"4,674","5,871","8,469","4,768","5,978","8,616"
13,"4,396","5,523","7,967","4,485","5,624","8,106"
14,"4,426","5,558","8,017","4,513","5,659","8,157"
15,"4,454","5,594","8,070","4,541","5,696","8,210"
16,"4,481","5,629","8,120","4,572","5,731","8,261"
17,"4,511","5,663","8,173","4,600","5,766","8,315"
18,"4,538","5,700","8,223","4,630","5,803","8,366"
19,"4,630","5,812","8,386","4,723","5,917","8,531"
20,"4,719","5,928","8,551","4,814","6,036","8,699"
21,"4,812","6,040","8,713","4,905","6,150","8,865"
22,"4,903","6,155","8,880","4,997","6,267","9,035"
23,"4,992","6,269","9,043","5,090","6,383","9,200"
24,"5,226","6,559","9,464","5,327","6,679","9,628"
25,"5,457","6,852","9,885","5,565","6,977","10,057"
26,"5,688","7,143","10,303","5,800","7,273","10,482"
27,"5,919","7,433","10,724","6,038","7,568","10,910"
28,"6,152","7,726","11,145","6,275","7,866","11,339"
29,"6,585","8,268","11,931","6,717","8,418","12,139"
30,"7,020","8,294","12,713","7,160","8,750","12,934"
31,"7,450","8,804","13,500","7,601","8,846","13,735"
32,"7,885","9,318","14,284","8,042","9,363","14,533"
33,"8,318","9,828","15,071","8,485","9,876","15,333"
34,"8,566","10,121","15,518","8,736","10,170","15,788"
35 36,"8,812 9,058","10,411 10,702","15,965 16,410","8,988 9,240","10,462 10,753","16,243 16,695"
