投保年龄,开始领取年龄 6 年交,一次性领取.,一次性领取.10 年交,一次性领取.15 年交 20 年交,一次性领取.交至 50 岁,一次性领取.交至 55 岁,一次性领取.交至 60 岁,一次性领取.交至 65 岁,趸交,6 年交,10 年交,15 年交,20 年交,交至 50 岁,交至 55 岁,交至 60 岁,交至 65 岁
18,109874,177679,254050,325490,475164,527607,,,1157,6622,10708,15309,19612,28626,31787,,
19,107712,174181,249048,319080,454873,507325,,,1134,6491,10497,15007,19225,27402,30564,,
20,105591,170752,244144,312796,434983,487441,,,1112,6363,10290,14711,18845,26202,29365,,
21,103513,167390,239335,306635,415482,467950,,,1090,6238,10087,14420,18473,25026,28189,,
22,101475,164094,234622,300595,396366,448840,,,1068,6115,9888,14135,18108,23874,27036,,
23,99477,160862,230000,294673,377625,430108,,,1047,5994,9692,13856,17750,22744,25906,,
24,97518,157694,225469,288868,359253,411743,,,1026,5876,9501,13582,17399,21636,24799,,
25,95597,154588,221027,283176,341241,393740,,,1006,5760,9313,13314,17055,20550,23713,,
26,93714,151543,216672,277597,323584,376091,,,986,5646,9129,13051,16718,19485,22649,,
27,91868,148557,212402,272126,306273,358789,,,967,5535,8949,12793,16387,18442,21605,,
28,90058,145630,208216,266764,289304,341828,,,948,5425,8772,12540,16063,17419,20582,,
29,88284,142760,204111,261509,272668,325200,,,929,5318,8598,12291,15745,16416,19579,,
30,86544,139946,200088,256358,256358,308899,,,911,5213,8428,12048,15433,15433,18596,,
31,84838,137187,196143,251309,242125,292920,,,893,5110,8262,11810,15128,14576,17632,,
32,83166,134483,192276,246358,226416,277255,,,875,5009,8098,11576,14828,13630,16688,,
开始领取年龄 33,81527,131831,188485,241505,211017,261899,,,858,4909,7938,11346,14534,12702,15761,,
=55 岁 34,79919,129233,184770,236749,195922,246844,,,841,4812,7781,11122,14246,11793,14854,,
35,78343,126684,181127,232086,181127,232086,,,824,4717,7626,10901,13964,10901,13964,,
36,76799,124187,177556,,170157,219205,,,808,4624,7475,10685,,10241,13188,,
37,75284,121738,174059,,155871,204986,,,792,4532,7327,10473,,9381,12332,,
38,73800,119338,170634,,141866,191047,,,776,4442,7182,10265,,8537,11492,,
39,72345,116985,167276,,128137,177382,,,761,4354,7039,10062,,7710,10669,,
,70919,114680,163986,,114680,163986,,,746,4268,6900,9862,,6900,9862,,
40 41,69521,112420,,,103652,154062,,,731,4183,6763,,,6237 9266,,,
42,68150,110206,,,90677,141127,,,716,4100,6629,,,5455,8487,,
43,66808,108035,,,77959,128446,,,702,4019,6497,,,4690,7724,,
44,65492,105909,,,65492,116015,,,688,3939,6368,,,3939,6975,,
45,64202,,,,55105,,,,675,3861,6242,,,3315,6242,,
46,62939,,,,43088,,,,661,3784,,,,2591,5642,,
47,61701,,,,,,,,,,,,,1882,,,
49,,,,,31307,,,,648 623,3709 3563,,,,,4935 3563,,
48,,,,,,,,,635,3635,,,,,4242,,
