,,,保单含分红利益演示,保单含分红利益演示,保单含分红利益演示,保单含分红利益演示,保证利益演示,保证利益演示,保证利益演示,保证利益演示
保单 年度,期交 保费,累计 保费,生存 总利益,身故 总利益,当年 交清增 额保额,累积 交清增 额保额,生存总利益 （现金价值 /退保金）,身故 总利益,当年 交清增 额保额,累积交清 增额保额
1,100000,100000,17282,160371,854,854,16912,160000,0,0
2,100000,200000,44645,281263,1950,2804,43382,280000,0,0
3,100000,300000,83269,422729,3038,5842,80539,420000,0,0
4,100000,400000,140122,564828,4119,9961,135294,560000,0,0
5,100000,500000,203208,707620,5191,15152,195588,700000,0,0
6,100000,600000,272835,851169,6256,21408,261667,840000,0,0
7,0,600000,586489,871048,6323,27731,555441,840000,0,0
8,0,600000,603578,878872,6391,34122,564706,840000,0,0
9,0,600000,621203,887036,6458,40580,574167,840000,0,0
10,0,600000,639331,895557,6526,47106,583775,840000,0,0
20,0,600000,851371,1003038,7238,116223,688333,840000,0,0
