交费期间.投保年龄,男性.趸交,男性.3 年交,男性.5 年交,男性.10年交,女性.趸交,女性.3 年交,女性.5 年交,女性.10年交,女性.10年交
0,28,76,127,243,29,77,128,245,245
1,28,76,127,242,29,77,128,245,245
2,28,76,127,242,29,77,128,245,245
3,28,76,126,241,29,77,128,244,244
4,28,76,126,240,29,77,127,243,243
5,28,76,126,240,28,76,127,243,243
6,28,75,125,239,28,76,127,242,242
7,28,75,125,238,28,76,127,242,242
8,28,75,125,238,28,76 76,126 126,241,241
9,28,75,125 124,237 236,28,76,126,241,241
10,28 28,75 74,124,236,28 28,75,126,240,240
11 12,28,74,124,235,28,75,125,239 239,239 239
13,28,74,123,234,28,75,125,238,238
14,28,74,123,233,28,75,125,237,237
15,28,74,122,232,28,75,124,237,237
16,28,73,122,231,28,75,124,236,236
17,28,73,122,231,28,74,124,235,235
18,28,73,121,230,28,74,123,234,234
19,28,73,121,229,28,74,123,233,233
20,28,72,120,227,28,74,123,233,233
21,28,72,120,228,28,73,122,232,232
22,27,72,119,226,28,73,122,231,231
23,27,72,119,225,28,73,121,230,230
24,27,71,118,223,28,73,121,229,229
25,27,71,118,222,28,72,120,228,228
26,27,71,117,221,28,72,120,227,227
27 28,27 27,70 70,117,220 218,27 27,72 72,120 119,226 225,226 225
,27,70,116,,,,,,
29 30,27,69,116 115,217 216,27 27,71 71,119 118,224 222,224 222
31,27,69,114,214,27,71,117,221,221
,,,,,,70,117,,
32 33,27 27,68,114,213,27,70,116,220 219,220 219
34,26,68 68,113 112,211 210,27 27,70 69,116 115,217 216,217 216
35,26,67,112 111,208 206,27 27,69,114,,
36 37,26 26,67 66,110,205,27,68,114,214 213,214 213
38,26,66,109,203,27,68,113,211,211
39,26,,108,201,26,68,112,210,210
,26,65,107,199,,67,112,,
40 41,26,65,107,197,26 26,67,111,208 206,208 206
42 43,26 25 25,64 64,106 105,195 192,26 26,66 66 65,110 109 108,202,202
44,,63 62,103,190,26,,,,
45,25,,,188,26,65,107,200,200
46,25,62 61,102 101,185,26,64,106,198 196,198 196
47,25,,100,182,26,63,105,194,194
48,,60,,,25,63,104,,
49,25 25,59 59,99 98,180 177,25,62,103,192 189,192 189
50,,,,,25,61,102,,
51,24 24,58 57,96 95,174 171,25,61,101,187 184,187 184
52,24,56,93,167,25,60,100,181,181
53,24,55,,164,25,59,98,,
54,24 23,54,92 90,160,24 24,58 57,97,178 175,178 175
55,,53,88,157,,,95,172,172
56 57,23 23,52 51,86 85,153 148,24 24,56 56,94 92,168 165,168 165
58,23,50,82,144,24,55,90,161,161
59 60,22,48,80,139,23,53,89,,
61,22,47,78,,23,52,87,157,157
,22,46,76,134,,51,,153,153
62,,,,,23,,85,,
,21,44,73,,,,,,
,,,,,23,50,83,,
63,21,42,70,,22,,80,,
64,21,41,68,,22,48 47,78,,
65 66,20,39,,,46,,,,
,20,37,64,,22 21,44,76,,
,,,,,21,42,,,
67 68,19 19,35 32,,,21 20,40,,,
69,18,30,,,,39,,,
70,,,,,,,,,
,18,27,,,20,37,,,
