18,117330,183791,267372,345758,519314,581556,638397,690155,1247,6984,10937,15909,20571,30886,34582,37967,41050,41050
19,115296,180601,262731,339754,497405,559647,616501,668278,1225,6862,10747,15632,20212,29581,33277,36662,39746,39746
20,113298,177467,258168,333849,475877,538114,594984,646778,1204,6743,10560,15359,19859,28299,31994,35379,38464,38464
21,111333,174386,253683,328048,454718,516954,573838,625651,1183,6626,10375,15091,19512,27039,30733,34118,37204,37204
22,109402,171357,249274,322342,433927,496157,553058,604888,1162,6510,10194,14828,19171,25801,29495,32879,35966,35966
23,107504,168380,244941,316737,413499,475722,532636,584486,1142,6397,10016,14568,18835,24584,28278,31661,34750,34750
24,105639,165454,240681,311223,393421,455636,512567,564436,1122,6285,9841,14314,18506,23389,27082,30464,33554,33554
25,103804,162577,236493,305807,373693,435899,492845,544732,1103,6176,9669,14063,18181,22214,25906,29288,32380,32380
26,102002,159749,232376,300479,354308,416507,473463,525370,1084,6068,9500,13817,17862,21060,24752,28133,31225,31225
27,100229,156969,228330,295245,335257,397454,454416,506341,1065,5962,9334,13575,17549,19925,23617,26998,30091,30091
28,98488,154236,224351,290097,316536,378727,435698,487644,1046,5858,9170,13337,17241,18811,22502,25882,28976,28976
29,96775,151549,220442,285039,298143,360327,417303,469268,1028,5756,9010,13102,16938,17716,21407,24786,27880,27880
30,95092,148908,216596,280065,280065,342248,399226,451212,1010,5655,8852,12872,16640,16640,20330,23709,26803,26803
31,93437,146312,212819,275178,266635,324480,381461,433466,992,5556,8696,12646,16347,15842,19273,22651,25745,25745
32,91811,143759,209102,270373,249109,307022,364004,416030,975,5459,8543,12423,16059,14799,18234,21611,24706,24706
33,90211,141251,205453,265651,231888,289870,346847,398893,958,5363,8393,12204,15776,13774,17212,20590,23684,23684
34,88640,138784,201862,261010,214963,273011,329988,382055,941,5269,8245,11989,15497,12767,16209,19586,22680,22680
35,87095,136361,198336,256448,198336,256448,313418,365506,925,5176,8100,11778,15224,11778,15224,18600,21693,21693
36,85576,133977,194867,251966,187792,244158,297137,349246,909,5085,7957,11570,14954,11153,14494,17631,20724,20724
37,84083,131636,191460,247560,171640,228102,281134,333267,893,4996,7816,11365,14690,10192,13539,16679,19771,19771
开始领取年龄 38,82616,129333,188111,243232,155768,212322,265415,317565,877,4908,7678,11164,14430,9248,12600,15744,18835,18835
=65 岁 39,81174,127072,184820,238978,140173,196820,249973,302135,862,4821,7543,10966,14174,8321,11678,14826,17915,17915
40,79757,124847,181586,234800,124847,181586,234800,286972,847,4736,7409,10772,13923,7409,10772,13923,17012,17012
41,78364,122664,178408,230693,118370,171951,223559,272075,832,4653,7278,10581,13676,7029,10202,13257,16125,16125
42,76996,120516,175286,226663,103430,157154,208848,257433,817,4571,7149,10393,13433,6141,9323,12382,15253,15253
43,75651,118407,172219,222712,88753,142617,194398,243046,803,4490,7022,10209,13194,5268 8458,,11523,14397,14397
44,74329,116333,169206,218829,74329,128333,180198,228911,789,4411,6897,10027,12959,4411,7609,10678,13555,13555
45,73031,114298,166246,215019,63912,114298,166246,215019,775,4333,6775,9849,12729,3794,6775,9849,12729,12729
46,71754,112297,163340,,49923,108393,157443,204742,761,4256,6654,9673,,2963,6430,9330,12121,12121
47,70501,110333,160485,,36178,94713,143893,191266,748,4181,6536,9501,,2146,5617,8524,11319,11319
48,69270,108403,157683,,,81269,130580,178026,734,4106,6419,9331,,,4818,7733,10533,10533
49,68061,106508,154929,,,68061,117499,165012,721,4034,6305,9164,,,4034,6956,9759,9759
50,66872,104647,152229,,,58529,104647,152229,709,3962,6192,8999,,,3470,6192,8999,8999
51,65707,102820,,,,45719,99267,144194,696,3892,6081,,,,2710,5880,8528,8528
52,64560,101026,,,,33130,86738,131781,684,3822,5971,,,,1963,5136,7790,7790
53,63437,,,,,,,,672,3754,5864,,,,,4405,7066,7066
54,62331,,,,,,,,660,3687,5758,,,,,3687,6353,6353
55,61249,,,,,,,,648,3621,5653,,,,,3174,3174,5653
56,,,,,,,,,637,3557,,,,,,,2478,5375
57,60185,,,,,,,,625,3493,,,,,,1794,1794,4694
58 59,,,,,,,,,614,3430,,,,,,,4025,4025
,,,,,,,,,603,3368,,,,,,,3368,3368
