0,1,2,3,4,5,6,7,8
50,11492,3844,1956,1198,11420,3821,1945,1191
51,11497,3845,1957,1199,11422,3822,1945,1191
52,11502,3847,1958,1200,11424,3822,1945,1192
53,11509,3849,1959,1201,11426,3823,1946,1192
54,11517,3852,1960,1202,11429,3824,1947,1192
55,11526,3855,1962,1203,11432,3825,1948,1193
56,11536,3858,1964,1205,11436,3827,1948,1193
57,11549,3862,1967,1207,11441,3828,1950,1194
58,11565,3867,1970,1210,11446,3830,1951,1195
59,11583,3873,1974,1213,11453,3833,1953,1196
60,11605,3881,1979,1217,11461,3836,1954,1196
61,11631,3892,1986,1221,11470,3839,1957,1198
62,11670,3905,1994,1227,11481,3843,1959,1199
63,11717,3920,2003,1234,11493,3847,1962,1200
64,11773,3939,2015,1243,11507,3852,1965,1202
65,11842,3963,2029,1254,11523,3857,1969,1204
66,11928,3991,2047,1268,11541,3864,1974,
67,12035,4028,2071,,11562,3871,1979,
68,12174,4075,2102,,11585,3880,1985,
69,12362,4138,2147,,11613,3890,1991,
70,12626,4229,2217,,11645,3901,1999,
71,13047,4373,2370,,,,,
72,13963,,,,,,,
