保险计划.保险期间.交费期间,计划一 计划二.30 年.10 年交,计划一 计划二.30 年.15 年交,计划一 计划二.至 60 周岁的保单周年日.10 年交,计划一 计划二.至 60 周岁的保单周年日.15 年交,计划一 计划二.至 60 周岁的保单周年日.20 年交,计划一 计划二.30 年.10 年交,计划一 计划二.30 年.15 年交,计划一 计划二.至 60 周岁的保单周年日.10 年交,计划一 计划二.至 60 周岁的保单周年日.15 年交,计划一 计划二.至 60 周岁的保单周年日.20 年交,计划三.30 年.10 年交,计划三.30 年.15 年交,计划三.至 60 周岁的保单周年日.10 年交,计划三.至 60 周岁的保单周年日.15 年交,计划三.至 60 周岁的保单周年日.20 年交
投保年龄 0,16,11,97,67,52,25,17,136,94,73,31,22,149,103,79
1,17,11,98,68,52,26,18,137,95,73,33,23,150,104,80
2,17,12,99,69,53,28,19,139,96,74,35,24,151,105,81
3,18,13,100,69,53,30,21,140,97,75,37,26,153,106,82
4,19,14,101,70,54,33,23,142,98,76,39,27,155,107,82
5,21,15,102,71,54,35,25,143,99,76,42,30,156,108,83
6,23,16,103,71,55,38,27,145,100,77,46,32,158,109,84
7,25,17,104,72,56,42,29,147,102,78,49,34,160,110,85
8,27,19,105,73,56,46,32,148,103,79,53,37,161,112,86
9,29,20,106,74,57,50,35,150,104,80,57,40,163,113,87
10,32,22,107,74,57,54,37,152,105,81,62,43,165,114,88
11,34,24,109,75,58,58,41,153,106,82,67,46,166,115,89
12,38,26,109,76,58,63,44,155,107,82,71,50,168,116,90
13,41,28,110,77,59,68,47,156,108,83,77,53,170,117,90
14,44,31,111,77,59,73,51,158,109,84,82,57,171,118,91
15,48,34,112,78,60,78,54,159,110,85,87,61,173,119,92
16,52,36,113,78,60,84,58,160,111,85,93,65,174,120,93
17,56,39,114,79,60,89,62,162,112,86,99,69,175,121,93
