年龄.年龄.年龄,昂贵医院100%赔付，1万元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院100%赔付，1万元免赔额.无基本医疗保险或公费医疗.中国 （含港澳台）,昂贵医院100%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球
0,"12,311","11,890","20,235","12,555","11,997","20,909"
1,"11,506","11,113","18,912","11,733","11,212","19,543"
2,"10,958","10,584","18,008","11,174","10,678","18,608"
3,"10,557","10,195","17,347","10,765","10,286","17,925"
4,"10,155","9,806","16,682","10,355","9,894","17,239"
5,"9,751","9,420","16,024","9,945","9,504","16,559"
6,"9,350","9,031","15,363","9,538","9,111","15,875"
7,"8,946","8,644","14,702","9,128","8,721","15,192"
8,"8,544","8,255","14,041","8,718","8,329","14,509"
9,"8,134","7,859","13,367","8,300","7,930","13,813"
10,"7,725","7,463","12,694","7,882","7,530","13,117"
11,"7,315","7,065","12,020","7,461","7,128","12,421"
12,"6,905","6,669","11,349","7,043","6,729","11,728"
13,"6,495","6,274","10,676","6,624","6,330","11,032"
14,"6,537","6,315","10,741","6,666","6,372","11,099"
15,"6,579","6,355","10,813","6,711","6,412","11,173"
16,"6,622","6,397","10,878","6,753","6,454","11,241"
17,"6,664","6,437","10,950","6,798","6,494","11,315"
18,"6,706","6,478","11,016","6,840","6,536","11,383"
19,"6,840","6,607","11,234","6,978","6,666","11,608"
20,"6,972","6,737","11,458","7,113","6,797","11,840"
21,"7,107","6,865","11,677","7,250","6,926","12,066"
22,"7,239","6,995","11,898","7,385","7,058","12,295"
23,"7,374","7,124","12,117","7,523","7,187","12,520"
24,"7,716","7,454","12,681","7,871","7,521","13,104"
25,"8,059","7,785","13,246","8,221","7,854","13,687"
26,"8,401","8,116","13,804","8,570","8,188","14,264"
27,"8,744","8,446","14,368","8,920","8,522","14,847"
28,"9,086","8,777","14,933","9,268","8,855","15,431"
29,"9,726","9,396","15,987","9,922","9,480","16,520"
30,"9,767","10,016","16,240","9,965","10,105","16,535"
31,"9,786","10,633","16,461","9,980","10,728","16,618"
32,"10,354","11,252","16,588","10,562","11,353","17,226"
33,"10,923","11,872","17,502","11,143","11,978","18,175"
34,"11,248","12,223","18,021","11,472","12,333","18,714"
35,"11,570","12,575","18,540","11,802","12,687","19,253"
36,"11,894","12,927","19,056","12,133","13,042","19,789"
