18,125171,195897,284861,368212,552615,618647,678801,733128,1357,7592,11876,17265,22310,33461,37444,41090,44392,44392
19,122976,192450,279839,361712,529189,595201,655383,709755,1333,7458,11665,16958,21913,32038,36020,39664,42970,42970
20,120816,189060,274905,355325,506163,572153,632380,686787,1310,7326,11458,16656,21522,30641,34621,38264,41571,41571
21,118694,185727,270050,349041,483545,549515,609767,664222,1286,7196,11254,16359,21137,29267,33246,36887,40198,40198
22,116607,182451,265281,342867,461327,527280,587556,642045,1264,7069,11054,16067,20759,27918,31896,35534,38848,38848
23,114556,179228,260585,336792,439491,505436,565722,620262,1241,6943,10857,15780,20387,26593,30569,34206,37522,37522
24,112537,176061,255974,330821,418041,483966,544276,598850,1219,6820,10663,15497,20021,25290,29266,32902,36219,36219
25,110554,172944,251434,324948,396972,462880,523194,577819,1198,6699,10472,15219,19661,24011,27986,31620,34939,34939
26,108603,169882,246975,319176,376266,442168,502487,557148,1177,6579,10284,14946,19307,22755,26729,30361,33680,33680
27,106686,166868,242585,313498,355926,421809,482132,536844,1156,6462,10100,14677,18959,21521,25494,29125,32444,32444
28,104800,163908,238274,307917,335951,401815,462140,516888,1135,6347,9918,14412,18616,20308,24280,27910,31230,31230
29,102947,160993,234030,302428,316316,382179,442486,497287,1115,6233,9740,14152,18280,19118,23088,26717,30036,30036
30,101123,158131,229862,297033,297033,362877,423183,478022,1095,6121,9564,13896,17948,17948,21918,25545,28864,28864
31,99331,155312,225759,291729,282826,343923,404208,459100,1076,6011,9391,13644,17622,17090,20768,24394,27712,27712
32,97568,152545,221729,286514,264142,325307,385569,440503,1057,5904,9221,13396,17301,15957,19639,23263,26580,26580
33,95836,149820,217763,281389,245782,307012,367250,422238,1038,5797,9054,13153,16986,14844,18530,22154,25468,25468
34,94132,147145,213868,276350,227752,289047,349265,404285,1019,5693,8890,12913,16675,13751,17440,21063,24375,24375
35,92457,144511,210036,271399,210036,271399,331607,386655,1001,5590,8728,12678,16371,12678,16371,19992,23302,23302
36 37,90810 89191,141926,206272,266531,198986,258440,314258,369324,983,5489,8569,12446,16070,12014,15590,18941,21215,21215
,87600,139379 136882,202569,261750,181788,241338,297216,352305,965,5389,8412,12218,15776,10972,14554,17908 16894,20199,20199
38 39,86035,134421,198934 195358,257050 252436,164899 148305,224548 208048,280485 264044,335578 319148,948 931,5292 5195,8258 8107,11993 11773,15485 15201,9949 8944,13536 12537,15898,19203,19203
开始领取年龄 40,84498,132009,191847,247899,132009,191847,247899,303006,914,5101,7958,11556,14920,7958,11556,14920,18224,18224
=68 岁 41,82987,129633,188395,243449,125395,181791,236088,287143,897,5008,7811,11343,14645,7568,10955,14210,17262,17262
42,81502,127303,185007,239073,109522,,220457,271566,881,4916,7667,,14373,6607,10003,13264,16319,16319
43,80042,125010,181677,,,166068,,,,,7526,11133,14108,,9068,12334,15392,15392
44,78609,122762,178409,234783 230566,93926 78609,150621 135452,205093 190013,256252 241210,865 849,4826 4738,7386,10927 10725,13846,5664 4738 8151,,11422,14482,14482
45,77200,120549,175199,226435,67668,120549,175199,226435,834,4651,7250,10526,13589,4082,7250,10526,13589,13589
46,75817,118381,172049,222401,52824,114585,166066,215683,,4566,7115,10330,13336,3184,6901,9982,12945,12945
47,74458,116248,168958,218441,38241,100069,151690,201384,819 804,4481,6983,10138,13088,2303,6024,9113,12080,12080
48,73125,114159,165925,214563,,85817,137574,187352,789,4399,6853,9949,12844,,5163,8260,11232,11232
49,71814,112105,162950,,,71814,123709,173567,775,4318,6725,9763,,,4318,7422,10399,10399
50,70530,110094,160033,,,61839,110094,160033,761,4238,6600,9581,,,3722,6600,9581,9581
51 69267,,108117,157175,,,48271,104709,151737,747,4160,6477,9401,,,2903,6290,9090,9090
52 68031,,106183,154372,,,34941,91447,138605,733,4083,6355,9224,,,2099,,5490,8298
53,66815,104283,151630,,,,78420,125709,719,4007,6236,9050,,,,4704,7519,7519
54 65627,,102426,,,,,,,706,3933,6118,,,,,3933,6754,6754
,64458,,,,,,65627,113044,,3860,6002,,,,,3392,6002,6002
55 56,63317,100603,,,,,56527 44127,100603 95740,693 681,3788,5888,,,,,5731,5731,5731
57,62195,,,,,,,,,3718,,,,,,,1912,5001
,,,,,,,31943,83620,668,,5775,,,,,,,
58,61102,,,,,,,71719,656 644,3648 3580 3512,5663,,,,,,,4284
59 60,60025,,,,,,,60025 51714,632,,,,,,,,3580 3091,3580 3091
61 62,,,,,,,,40379,620,3446,,,,,,,2410,2410
,,,,,,,,,609,3379,,,,,,1740,1740,1740
