年龄.年龄.年龄,昂贵医院0%赔付，1万元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院0%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院0%赔付，1万元免赔额.无基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院0%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球
0,"9,059","11,376","16,415","9,239","11,583","16,701"
1,"8,465","10,633","15,342","8,635","10,826","15,609"
2,"8,064","10,125","14,609","8,225","10,310","14,863"
3,"7,766","9,753","14,071","7,923","9,930","14,316"
4,"7,469","9,380","13,533","7,621","9,550","13,768"
5,"7,174","9,009","13,000","7,319","9,173","13,226"
6,"6,879","8,636","12,462","7,017","8,793","12,679"
7,"6,584","8,266","11,927","6,715","8,416","12,134"
8,"6,286","7,893","11,389","6,413","8,037","11,587"
9,"5,984","7,515","10,843","6,106","7,652","11,032"
10,"5,682","7,137","10,297","5,800","7,267","10,476"
11,"5,383","6,759","9,751","5,489","6,882","9,921"
12,"5,081","6,382","9,206","5,182","6,498","9,366"
13,"4,779","6,004","8,660","4,875","6,113","8,810"
14,"4,811","6,041","8,714","4,905","6,151","8,866"
15,"4,841","6,081","8,772","4,935","6,191","8,924"
16,"4,871","6,118","8,826","4,970","6,229","8,980"
17,"4,903","6,155","8,883","5,000","6,267","9,038"
18,"4,933","6,195","8,938","5,032","6,308","9,093"
19,"5,032","6,317","9,115","5,134","6,432","9,273"
20,"5,129","6,444","9,294","5,233","6,561","9,456"
21,"5,230","6,566","9,471","5,332","6,685","9,635"
22,"5,330","6,690","9,653","5,431","6,811","9,821"
23,"5,426","6,814","9,829","5,532","6,938","10,000"
24,"5,680","7,130","10,287","5,791","7,259","10,466"
25,"5,931","7,448","10,744","6,049","7,583","10,931"
26,"6,183","7,764","11,199","6,305","7,905","11,394"
27,"6,434","8,080","11,657","6,563","8,226","11,859"
28,"6,687","8,398","12,114","6,821","8,550","12,325"
29,"7,158","8,987","12,969","7,301","9,150","13,195"
30,"7,630","9,015","13,819","7,782","9,511","14,059"
31,"8,098","9,569","14,674","8,262","9,615","14,929"
32,"8,571","10,128","15,526","8,741","10,177","15,796"
33,"9,041","10,683","16,381","9,223","10,734","16,666"
34,"9,311","11,001","16,868","9,495","11,054","17,161"
35,"9,578","11,317","17,354","9,769","11,371","17,655"
36,"9,846","11,632","17,837","10,044","11,689","18,147"
