交费期间 投保年龄,6年交,10年交,15年交,20年交,交至55周岁,交至60周岁,交至65周岁
0,364,234,160,124,59,56,54
1,371,239,163,127,61,58,55
2,379,244,167,130,63,60,57
3,386,248,170,132,65,61,59
4,394,253,173,135,67,63,60
5,402,258,177,137,69,65,62
6,410,264,180,140,71,67,64
7,418,269,184,143,73,69,66
8,426,274,188,146,76,71,68
9,435,280,191,149,79,74,70
10,444,286,195,152,81,76,72
11,453,291,199,155,84,79,74
12,462,297,203,158,87,81,77
13,471,303,207,161,90,84,79
14,481,309,212,165,94,87,82
15,490,315,216,168,97,90,84
16,500,322,220,171,101,93,87
17,510,328,225,175,105,96,90
18,520,335,229,178,109,100,93
19,531,342,234,182,113,104,96
20,542,349,239,186,118,108,99
21,553,356,243,189,123,112,103
22,564,363,248,193,128,116,107
23,575,370,253,197,134,121,111
24,587,378,259,201,140,126,115
25,599,386,264,205,147,131,119
26,611,394,269,210,154,136,124
