交费期间 投保年龄,主险合同被保险人为一人.趸交,主险合同被保险人为一人.3年,主险合同被保险人为一人.6年,主险合同被保险人为一人.10年,主险合同被保险人为两人.趸交,主险合同被保险人为两人.3年,主险合同被保险人为两人.6年,主险合同被保险人为两人.10年
0,11407,3816,1942,1190,11405,3816,1941,1190
1,11408,3817,1942,1190,11406,3816,1941,1190
2,11409,3817,1942,1190,11406,3816,1942,1190
3,11411,3818,1942,1191,11407,3816,1942,1190
4,11412,3818,1943,1191,11408,3817,1942,1190
5,11414,3819,1943,1191,11409,3817,1942,1190
6,11416,3820,1943,1191,11410,3817,1942,1190
7,11418,3820,1944,1191,11411,3818,1942,1190
8,11421,3821,1944,1192,11412,3818,1943,1190
9,11423,3822,1945,1192,11412,3818,1943,1190
10,11425,3823,1945,1192,11413,3818,1943,1190
11,11427,3823,1945,1192,11414,3819,1943,1190
12,11430,3824,1946,1193,11414,3819,1943,1190
13,11432,3825,1946,1193,11414,3819,1943,1190
14,11434,3826,1947,1193,11414,3819,1943,1190
15,11437,3827,1947,1193,11414,3819,1943,1190
16,11440,3827,1947,1193,11415,3819,1943,1190
17,11442,3828,1948,1194,11415,3819,1943,1190
18,11445,3829,1948,1194,11415,3819,1943,1190
19,11447,3829,1948,1194,11415,3819,1943,1190
20,11449,3830,1948,1194,11415,3819,1943,1190
21,11451,3831,1949,1194,11416,3820,1943,1191
22,11453,3831,1949,1195,11417,3820,1944,1191
23,11455,3832,1950,1195,11417,3820,1944,1191
24,11458,3833,1950,1195,11418,3820,1944,1191
25,11461,3834,1951,1196,11419,3821,1944,1191
26,11465,3835,1951,1196,11420,3821,1944,1191
27,11469,3837,1952,1197,11422,3822,1945,1191
28,11473,3838,1953,1197,11423,3822,1945,1191
29,11478,3840,1954,1198,11425,3823,1946,1192
30,11483,3841,1955,1198,11427,3824,1946,1192
31,11489,3843,1956,1199,11429,3824,1946,1192
32,11495,3845,1957,1200,11432,3825,1947,1192
33,11502,3848,1958,1200,11435,3826,1947,1193
34,11509,3850,1959,1201,11438,3827,1948,1193
35,11516,3852,1960,1202,11440,3828,1948,1193
36,11523,3854,1961,1202,11442,3829,1949,1193
37,11529,3856,1962,1203,11444,3829,1949,1193
38,11535,3858,1963,1203,11445,3829,1949,1193
39,11540,3860,1964,1204,11445,3830,1949,1193
40,11545,3861,1965,1204,11445,3830,1949,1193
41,11549,3863,1966,1204,11445,3830,1949,1193
42,11555,3865,1966,1205,11445,3829,1949,1193
43,11560,3866,1967,1205,11444,3829,1949,1193
44,11566,3868,1968,1206,11444,3829,1949,1193
45,11572,3870,1969,1206,11444,3829,1949,1193
46,11579,3872,1970,1207,11444,3829,1949,1193
47,11586,3874,1971,1208,11444,3829,1949,1193
48,11593,3877,1972,1208,11445,3830,1950,1193
49,11602,3879,1974,1209,11446,3830,1950,1194
