18,138642,224126,320280,410148,598181,664024,723076,775831,1494,8545,13811,19731,25261,36817,40863,44508,47756,47756
19,135883,219662,313894,401962,572515,638365,697450,750243,1464,8374,13535,19335,24754,35234,39278,42924,46175,46175
20,133179,215288,307633,393937,547355,613217,672328,725158,1435,8206,13264,18947,24256,33682,37725,41372,44625,44625
21,130527,210996,301492,386066,522694,588563,647707,700575,1406,8042,12998,18567,23768,32161,36203,39851,43106,43106
22,127926,206789,295471,378348,498528,564399,623569,676476,1378,7881,12737,18193,23289,30670,34711,38360,41618,41618
23,125375,202661,289566,370778,474842,540710,599915,652858,1350,7723,12481,17827,22819,29210,33249,36898,40158,40158
24,122874,198616,283775,363356,451624,517493,576723,629707,1323,7568,12230,17468,22359,27779,31817,35465,38728,38728
25,120421,194646,278096,356077,428873,494732,553997,607017,1297,7416,11984,17115,21907,26376,30412,34061,37326,37326
26,118016,190756,272526,348939,406577,472426,531715,584777,1271,7267,11743,16770,21463,25001,29037,32685,35952,35952
27,115657,186937,267065,341940,384720,450556,509882,562979,1245,7120,11506,16430,21028,23654,27689,31336,34606,34606
28,113343,183196,261708,335075,363304,429125,488475,541615,1220,6977,11273,16098,20602,22334,26367,30013,33286,33286
29,111075,179523,256456,328347,342318,408112,467500,520674,1196,6836,11046,15771,20183,21040,25073,28717,31992,31992
30,108850,175925,251304,321745,321745,387524,446934,500151,1171,6698,10822,15451,19773,19773,23805,27447,30725,30725
31,106668,172393,246255,315277,303850,367353,426783,480035,1148,6562,10603,15137,19370,18672,22562,26202,29482,29482
32,104528,168933,241300,308930,284056,347591,407026,460321,1125,6429,10388,14829,18976,17453,21344,24983,28265,28265
33,102430,165537,236446,302714,264654,328217,387667,440999,1102,6299,10177,14527,18588,16258,20151,23789,27071,27071
34,100371,162209,231682,296612,245642,309235,368689,422062,1080,6171,9970,14231,18209,15087,18982,22618,25902,25902
35,98354,158944,227016,290640,227016,290640,350092,403502,1058,6046,9767,13940,17836,13940,17836,21472,24756,24756
36,96375,155744,222436,284776,213318,274473,331862,385312,1036,5923,9567,13655,17471,13100,16843,20349,23633,23633
37,94436,152605,217952,279039,195343,256571,313997,367489,1015,5802,9372,13375,17113,11994,15741,19248,22532,22532
38,92532,149529,213550,273406,177727,239036,296489,350017,995,5684,9181,13101,16762,10910,14662,18170,21453,21453
开始领取年龄 39,90668,146512,209243,267896,160469,221852,279326,332900,974,5567,8992,12832,16417,9848,13604,17114,20396,20396
=66 岁 40,88838,143555,205013,262511,143555,205013,262511,316123,954,5454,8808,12569,16080,8808,12569,16080,19361,19361
41,87047,140657,200876,257228,129776,192664,247908,299683,935,5342,8627,12310,15749,7963,11813,15184,18346,18346
42,85288,137816,196815,252057,113483,176420,231721,283577,916,5232,8450,12056,15424,6962,10814,14189,17351,17351
43,83567,135033,192843,246987,97521,160506,215869,267788,897,5125,8276,11808,15107,5981 9836,,13215,16377,16377
44,81877,132304,188946,242022,81877,144910,200344,252319,879,5019,8106,11564,14795,5019,8878,12260,15423,15423
45,80224,129633,185134,237166,68919,129633,185134,237166,861,4916,7939,11326,14490,4226,7939,11326,14490,14490
46,78602,127013,181397,232404,53856,117199,174006,223994,843,4815,7775,11092,14191,3301,7178,10646,13683,13683
47,77015,124450,177742,,39093,102483,159329,209383,826,4716,7615,10862,,2394,6275,9746,12785,12785
48,75459,121936,174176,,,88063,144953,195064,809,4618,7457,10638,,,5390,8863,11906,11906
49,73936,119480,170696,,,73936,130871,181035,792,4523,7303,10418,,,4523,7999,11045,11045
50,72443,117070,167285,,,62242,117070,167285,776,4429,7152,10202,,,3808,7152,10202,10202
51,70983,114717,163954,,,48636,105854,157264,760,4338,7004,9991,,,2974,6468,9592,9592
52,69553,112408,,,,35304,92564,143999,744,4248,6859,,,,2157,5653,8780,8780
53,68153,110156,,,,,79542,130999,729,4160,6717,,,,,4855,7984,7984
54,66784,107946,,,,,66784,118263,714,4074,6578,,,,,4074,7205,7205
55,65445,105793,,,,,56228,105793,699,3990,6442,,,,,3431,6442,6442
56,64136,,,,,,43942,95672,684,3907,6308,,,,,2679,5827,5827
57,62855,,,,,,31900,,670,3826,,,,,,1943 5092 4373,1943 5092 4373,1943 5092 4373
58,61605,,,,,,,83665 71906,656,3746,,,,,,,,3669
59,,,,,,,,,643,3669,,,,,,,,
60,,,,,,,,,630,3592,,,,,,,3091,3091
