年龄.年龄.年龄,昂贵医院100%赔付，0元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，0元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，0元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院100%赔付，0元免赔额.无基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，0元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，0元免赔额.无基本医疗保险或公费医疗.全球
0,"11,524","13,255","18,550","11,757","13,653","18,855"
1,"10,769","12,387","17,337","10,988","12,759","17,621"
2,"10,256","11,797","16,513","10,464","12,151","16,784"
3,"9,894","11,379","15,931","10,093","11,720","16,192"
4,"9,533","10,961","15,349","9,723","11,290","15,601"
5,"9,169","10,545","14,765","9,354","10,862","15,007"
6,"8,807","10,127","14,183","8,984","10,431","14,416"
7,"8,443","9,711","13,599","8,615","10,003","13,821"
8,"8,082","9,293","13,017","8,244","9,572","13,230"
9,"7,851","9,029","12,647","8,009","9,300","12,855"
10,"7,623","8,764","12,275","7,774","9,027","12,476"
11,"7,392","8,502","11,906","7,542","8,757","12,101"
12,"7,164","8,238","11,533","7,307","8,485","11,722"
13,"6,934","7,973","11,164","7,072","8,212","11,347"
14 15,"7,006 7,078","8,057 8,141","11,280 11,396","7,146 7,221","8,299 8,385","11,465"
,,,,,,"11,582"
16,"7,151","8,222","11,514","7,293","8,469","11,703"
17,"7,223","8,306","11,630","7,368","8,555","11,821"
18,"7,295","8,389","11,746","7,442","8,641","11,938"
19,"7,433","8,547","11,969","7,582","8,804","12,165"
20,"7,571","8,708","12,192","7,725","8,969","12,392"
21,"7,711","8,866","12,416","7,865","9,132","12,619"
22,"7,849","9,026","12,639","8,007","9,297","12,846"
23,"7,987","9,185","12,862","8,147","9,460","13,073"
24,"8,303","9,549","13,372","8,470","9,835","13,592"
25,"8,620","9,912","13,883","8,794","10,210","14,110"
26,"8,938","10,278","14,393","9,117","10,587","14,629"
27,"9,255","10,642","14,903","9,440","10,962","15,147"
28,"9,571","11,006","15,413","9,763","11,336","15,665"
29,"9,921","11,408","15,978","10,120","11,751","16,240"
30,"10,272","11,813","16,540","10,477","12,167","16,812"
31,"10,622","12,215","17,106","10,834","12,582","17,386"
32,"10,972","12,620","17,668","11,192","12,998","17,958"
33,"11,323","13,022","18,233","11,549","13,413","18,532"
34,"11,512","13,239","18,539","11,743","13,636","18,843"
35,"11,702","13,456","18,843","11,935","13,860","19,152"
