保单年度,被保险人 年龄,期交保险费,累计保险费,身故保险金,满期生存保险金,现金价值(退保金)
1,1,4100,4100,5200,0,1300
2,2,4100,8200,10400,0,3200
3,3,4100,12300,15600,0,5300
4,4,4100,16400,20800,0,7800
5,5,4100,20500,26000,0,10500
6,6,4100,24600,31200,0,13300
7,7,4100,28700,36400,0,16400
8,8,4100,32800,41600,0,19600
9,9,4100,36900,46800,0,22900
10,10,4100,41000,52000,0,26500
11,11,4100,45100,57200,0,30300
12,12,4100,49200,62400,0,34300
13,13,4100,53300,67600,0,38500
14,14,4100,57400,72800,0,43000
15,15,4100,61500,78000,0,47700
16,16,0,61500,78000,0,49600
17,17,0,61500,78000,0,51500
18,18,0,61500,78000,0,53600
19,19,0,61500,1000000,0,55300
20,20,0,61500,1000000,0,57000
21,21,0,61500,1000000,0,58800
22,22,0,61500,1000000,0,60700
23,23,0,61500,1000000,0,62600
24,24,0,61500,1000000,0,64500
25,25,0,61500,1000000,0,66500
26,26,0,61500,1000000,0,68600
27,27,0,61500,1000000,0,70800
28,28,0,61500,1000000,0,72900
29,29,0,61500,1000000,0,75200
30,30,0,61500,1000000,78000,78000
