保单年度.保单年度,期交 保险费.期交 保险费,累计 保险费.累计 保险费,当年 养老金.当年 养老金,现金 价值 (退保金).现金 价值 (退保金),保单含分红利益演示.当年 红利,保单含分红利益演示.累积 红利,保单含分红利益演示.生存 总利益,保单含分红利益演示.身故 总利益,保证利益演示.当年 红利,保证利益演示.累积 红利,保证利益演示.生存 总利益,保证利益演示.身故 总利益
1,12000,12000,0,4151,100,100,4251,12100,0,0,4151,12000
2,12000,24000,0,9592,234,336,9928,24336,0,0,9592,24000
3,12000,36000,0,16055,371,713,16767,36713,0,0,16055,36000
4,12000,48000,0,23244,509,1234,24478,49234,0,0,23244,48000
5,12000,60000,0,30838,650,1906,32744,61906,0,0,30838,60000
6,12000,72000,0,38851,794,2734,41585,74734,0,0,38851,72000
7,12000,84000,0,47304,940,3722,51026,87722,0,0,47304,84000
8,12000,96000,0,56213,1089,4875,61088,100875,0,0,56213,96000
9,12000,108000,0,65596,1240,6201,71796,114201,0,0,65596,108000
10,12000,120000,0,75474,1394,7703,83177,127703,0,0,75474,120000
15,0,120000,0,90030,1520,16001,106031,136001,0,0,90030,120000
20,0,120000,0,107641,1660,25745,133386,145745,0,0,107641,120000
25,0,120000,8965,120288,1817,37149,166402,166402,0,0,129253,129253
30,0,120000,8965,96282,1423,48728,198801,198801,0,0,150073,150073
35,0,120000,8965,67426,991,59201,225244,225244,0,0,166043,166043
40,0,120000,8965,32735,519,68267,244445,244445,0,0,176178,176178
44,0,120000,8965,0,108,74269,253573,253573,0,0,179304,179304
