18,129178,208884,298641,382586,558439,620101,675707,1369,7836,12670,18113,23201,33855,37593,40968,
19,126631,204764,292748,375033,534566,596238,651858,1342,7681,12420,17754,22742,32406,36144,39519,
20,124134,200725,286971,367630,511163,572844,628476,1315,7530,12174,17403,22291,30986,34723,38099,
21,121685,196765,281305,360369,488220,549911,605556,1289,7381,11934,17058,21850,29594,33330,36707,
22,119285,192882,275752,353252,465730,527429,583086,1264,7235,11697,16720,21417,28229,31965,35343,
23,116931,189075,270305,346271,443687,505389,561060,1239,7092,11466,16389,20992,26891,30627,34005,
24,114624,185342,264966,339430,422077,483784,539466,1215,6951,11239,16064,20575,25580,29316,32694,
25,112361,181682,259729,332719,400892,462602,518299,1190,6813,11016,15745,20167,24295,28030,31408,
26,110142,178093,254597,326141,380127,441839,497547,1167,6679,10798,15433,19766,23035,26769,30148,
27,107967,174574,249562,319690,359773,421483,477205,1144,6546,10583,15126,19373,21800,25534,28913,
28,105834,171124,244627,313367,339818,401528,457263,1121,6416,10373,14826,18988,20589,24323,27702,
29,103742,167741,239787,307164,320258,381966,437714,1099,6289,10167,14531,18610,19403,23136,26515,
30,101692,164424,235043,301086,301086,362789,418550,1077,6164,9966,14242,18240,18240,21973,25351,
31,99681,161171,230389,295124,284362,343989,399764,1056,6042,9767,13959,17877,17226,20832,24210,
32,97709,157982,225829,289282,265898,325561,381347,1035,5922,9573,13681,17521,16107,19715,23092,
33,95776,154854,221355,283551,247801,307493,363294,1014,5804,9383,13408,17171,15009,18619,21995,
34,93880,151789,216971,277936,230061,289784,345596,994,5689,9196,13141,16829,13933,17545,20921,
35,92022,148782,212671,272429,212671,272429,328248,974,5575,9013,12879,16493,12879,16493,19868,
36,90200,145836,208458,267032,199798,257297,311242,955,5464,8833,12622,16164,12100,15576,18836,
开始领取年龄 37,88413,142945,204325,261748,183010,240587,294571,936,5355,8657,12370,15841,11082,14563,17825,
=63 岁 38,86661,140113,200275,256567,166554,224205,278232,917,5249,8484,12123,15524,10085,13570,16833,
39,84944,137335,196304,251490,150423,208150,262213,899,5144,8315,11880,15214,9107,12597,15862,
40,83260,134614,192413,246511,134614,192413,246511,881,5041,8149,11643,14910,8149,11643,14910,
41,81609,131944,188598,241633,121671,180775,232822,864,4941,7986,11410,14611,7366,10939,14081,
42,79992,129329,184860,236854,106431,165581,217699,846,4842,7826,11182,14319,6442,10019,13164,
43,78405,126764,181196,232168,91493,150690,202871,829,4745,7670,10958,14032,5537 9116,,12266,
44,76851,124252,177606,,76851,136095,188339,813,4650,7516,10738,,4650,8232,11386,
45,75327,121788,174092,,64667,121788,174092,797,4557,7366,10523,,3913,7366,10523,
46,73834,119375,170655,,50556,110083,163573,781,4466,7218,10312,,3059,6658,9888,
47,72370,117008,167284,,36725,96294,149821,765,4376,7073,10105,,2221,5823,9055,
48,70936,114692,163985,,,82778,136345,750,4289,6932,9903,,,5005,8239,
49,69530,112420,,,,69530,123139,735,4203,6793,,,,4203,7440,
50,68153,110197,,,,58509,110197,720,4119,6656,,,,3537,6656,
51,66804,108017,,,,45743,99611,706,4036,6523,,,,2765,6017,
52,65482,105884,,,,33229,87134,692,3955,6392,,,,2007,5262,
53,64188,,,,,,74906,678,3876,6263,,,,,4523,
54,62920,,,,,,62920,664,3798,,,,,,3798,
55,61679,,,,,,52951,651,3721,,,,,,3196,3196
56,,,,,,,41399,638,3646,,,,,,2498,
57,,,,,,,30076,625,3573,,,,,,1814,
