保险计划.交费期间 投保年龄,计划一 计划二.趸交,计划一 计划二.3 年交,计划一 计划二.5 年交,计划一 计划二.10 年交,计划一 计划二.15 年交,计划一 计划二.20 年交,计划一 计划二.30 年交,计划一 计划二.趸交,计划一 计划二.3 年交 5,计划一 计划二.年交 10,计划一 计划二.年交 15 年交,计划一 计划二.20 年交,计划一 计划二.30 年交
18,3611,1350,812,397,271,215,156,3678,1375 827,404,276,219,158
19,3673,1373,826,404,276,219,158,3741,1398 841,411,281,223,161
20,3736,1396,840,410,281,223,161,3804,1422 855,418,286,227,164
21,3800,1420,854,418,285,227,164,3869,1446 870,425,291,231,167
22,3865,1445,869,425,290,231,167,3935,1471 885,432,296,235,170
23,3932,1470,884,432,295,235,170,4002,1496 900,440,301,239,173
24,3999,1495,899,439,300,239,173,4070,1522 915,447,306,243,176
25,4068,1521,914,447,306,243,176,4140,1547 931,455,311,247,179
26,4138,1547,930,455,311,247,179,4210,1574 946,463,316,251,182
27,4209,1573,946,463,316,251,182,4282,1601 963,471,322,256,185
28,4281,1600,962,471,322,256,185,4355,1628 979,479,327,260,188
29,4355,1628,979,479,327,260,188,4430,1656 996,487,333,265,192
30,4429,1656,996,487,333,265,192,4505,1684 1013,495,339,269,195
31,4505,1684,1013,495,339,269,195,4582,1713 1030,504,344,274,198
32,4583,1713,1030,504,345,274,199,4660,1742 1048,512,350,279,202
33,4661,1743,1048,513,351,279,202,4740,1772 1066,521,356,283,205
34,4741,1773,1066,521,357,284,206,4821,1802 1084,530,363,288,209
35,4823,1803,1084,530,363,289,209,4903,1833 1102,539,369,293,213
36,4905,1834,1103 1122,540,369,294,213 217,4986,1864 1121,548,375,299,217
37 38,4989 5074,1865 1897,1141,549 558,376 382,299 304,221,5071 5157 1928,1896 1140 1160,558 567,382 388,304 309,221 225
,,,,568,,,,1961,1180,577,395,,
39,5161,1930,1161,,389,310,225,5245,,,,315,229
40 41,5249 5338,1963 1996,1181 1201,578 588,396 403,315 321,229 234,5333 5423,1994 1200 2028 1220,587 597,402 409,320 326,233 237
42,5429,2030,1221,598,410,326,238,5515,2062 1241,607,416,332,242
43,5521,2065,1242,608,417,332,243,5608,2097 1262,618,423,337,247
,,2100,1263,619,424,338,248,5702,2132 1283,629,431,343,251
44 45,5614 5709,2135,1285,630,432,344,252,5797 2168,1305,639,438,350,256
46,5805,2171,1307,640,439,350,,5894 5992,2205 1327,650,446,356,
47,5902,2208,1329,651,447,357,,2241,1349,661,454,362,
48,6000,2245,1351,663,455,363,,6091 2279,1372,673,462,369,
49,6100,2283,1374,674,463,370,,6191 2317,1395,684,470,376,
50,6202,2321,1397,686,471,377,6293,2355,1418,696,478,382,
51,6304,2359,1421,697,479,384,,6396,2394 1442,708,486,390,
52,6408,2399,1445,709,488,391,,6501,2435 1466,720,495,397,
53,6514,2440,1469,722,497,399,,6607,2475 1491,732,504,404,
54,6620,2481,1494,734,505,407,,6714,2516 1515,744,513,412,
55,6728,2522,1519,747,515,415,,6822 2558,1540,757,522,,
56,6838,2563,1544,760,524,,,6932,2599 1565,770,532,,
57,6949,2605,1569,773,534,,,2641,1591,783,542,,
58,,,1595,787,545,,7044,2683,1617,797,,,
59,7061 7175,2647 2689,1622,801,,,,7157,,,552,,
,,2733,,,555,,,2725,1644,811,,,
60,7291,,,815,,,,7272,,,,,
61,7407,,,,,,,7388,,826,,,
,,,1649,,,,,7503,2769,,,,
,,2778,,830,,,,,,,,,
62 63,7524 7642,,,,,,,7621 7739 7858,,,,,
64 65,7761 7881,,,,,,,7978 8097,,,,,
66,8001 8122,,,,,,,,,,,,
67 68,,,,,,,,8215 8333,,,,,
,8242,,,,,,,,,,,,
