年龄.年龄.年龄,昂贵医院0%赔付，0元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院0%赔付，0元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，0元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院0%赔付，0元免赔额.无基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院0%赔付，0元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，0元免赔额.无基本医疗保险或公费医疗.全球
0,"12,509","14,473","20,889","12,758","14,907","21,516"
1,"11,691","13,526","19,522","11,924","13,932","20,108"
2,"11,135","12,882","18,593","11,357","13,268","19,151"
3,"10,785","12,475","18,008","10,999","12,849","18,548"
4,"10,434","12,068","17,422","10,642","12,430","17,945"
5,"10,084","11,664","16,837","10,283","12,014","17,342"
6,"9,732","11,257","16,249","9,926","11,595","16,737"
7,"9,381","10,853","15,664","9,567","11,178","16,134"
8,"9,031","10,446","15,079","9,210","10,759","15,531"
9,"8,696","10,057","14,518","8,868","10,359","14,954"
10,"8,360","9,671","13,958","8,527","9,961","14,376"
11,"8,025","9,282","13,400","8,183","9,560","13,802"
12,"7,689","8,895","12,839","7,842","9,162","13,224"
13,"7,354","8,507","12,279","7,501","8,762","12,647"
14,"7,487","8,660","12,502","7,637","8,920","12,877"
15,"7,621","8,814","12,724","7,772","9,078","13,106"
16,"7,754","8,970","12,948","7,910","9,239","13,336"
17,"7,887","9,124","13,169","8,046","9,397","13,564"
18,"8,021","9,277","13,393","8,181","9,556","13,795"
19,"8,552","9,892","14,279","8,721","10,189","14,707"
20,"9,081","10,504","15,165","9,261","10,820","15,620"
21,"9,612","11,119","16,048","9,804","11,453","16,530"
22,"10,141","11,732","16,934","10,344","12,084","17,442"
23,"10,672","12,346","17,820","10,884","12,717","18,355"
24,"10,907","12,618","18,211","11,124","12,996","18,757"
25,"11,142","12,889","18,602","11,363","13,275","19,160"
26,"11,375","13,162","18,995","11,603","13,557","19,565"
27,"11,610","13,433","19,386","11,842","13,836","19,968"
28,"11,845","13,705","19,777","12,082","14,116","20,371"
29,"12,091","13,989","20,189","12,333","14,409","20,794"
30,"12,337","14,274","20,600","12,584","14,702","21,218"
31,"12,584","14,559","21,013","12,837","14,996","21,644"
32,"12,830","14,844","21,425","13,088","15,289","22,068"
33,"13,076","15,128","21,836","13,339","15,582","22,491"
34,"13,777","15,938","23,005","14,053","16,416","23,695"
35,"14,478","16,747","24,173","14,767","17,249","24,898"
36,"15,176","17,558","25,344","15,479","18,085","26,104"
