0,1,2,3,4,5,6
80,"36,146","41,568","57,836","36,870","42,815","59,571"
81,"37,912","43,598","60,656","38,669","44,906","62,476"
82,"39,674","45,625","63,479","40,468","46,994","65,383"
83,"41,437","47,654","66,299","42,267","49,084","68,288"
84,"43,684","50,238","69,895","44,558","51,745","71,992"
85,"45,930","52,821","73,488","46,850","54,405","75,693"
86,"48,179","55,406","77,084","49,141","57,068","79,397"
87,"50,425","57,989","80,677","51,433","59,729","83,098"
88,"52,672","60,573","84,273","53,725","62,390","86,801"
89,"55,540","63,872","88,863","56,651","65,788","91,529"
90,"58,407","67,169","93,453","59,576","69,185","96,257"
91,"61,278","70,469","98,041","62,503","72,583","100,982"
92,"64,146","73,766","102,631","65,427","75,979","105,710"
93,"67,014","77,066","107,221","68,354","79,378","110,438"
94,"70,672","81,274","113,075","72,085","83,712","116,467"
95,"74,331","85,482","118,930","75,818","88,047","122,498"
96,"77,990","89,690","124,784","79,550","92,381","128,527"
97,"81,649","93,898","130,639","83,283","96,715","134,558"
98,"85,308","98,107","136,493","87,015","101,050","140,587"
99,"88,967","102,315","142,346","90,746","105,384","146,616"
100,"92,626","106,523","148,202","94,479","109,719","152,648"
