保险期间,保至 70 周岁保单周年日,保至 75 周岁保单周年日,保至 80 周岁保单周年日
交费期间 投保年龄,20 年,20 年,20 年
18,2688,2661,2666
19,2716,2686,2690
20,2746,2712,2715
21,2777,2740,2741
22,2811,2769,2769
23,2847,2800,2799
24,2885,2833,2829
25,2926,2868,2862
26,2971,2906,2897
27,3018,2945,2934
28,3070,2988,2973
29,3125,3034,3014
30,3186,3082,3058
31,3251,3135,3105
32,3323,3192,3156
33,3402,3253,3210
34,3489,3319,3268
35,3585,3391,3330
36,3691,3470,3398
37,3811,3556,3470
38,3945,3651,3549
39,4098,3755,3635
40,4272,3871,3729
41,,3999,3831
42,,4126,3928
43,,4268,4036
44,,4431,4155
45,,4617,4289
46,,,4438
47,,,4607
48,,,4800
49,,,5022
50,,,5279
51,,,5580
52,,,5945
53,,,6386
54,,,6930
55,,,7615
