保单 年度.保单 年度,期交 保费.期交 保费,累计.保费,年领 养老金.,满期 生存金.,现金 价值 (退保金).现金 价值 (退保金),身故 保险金.身故 保险金,保单含分红利益演示.当年 红利,保单含分红利益演示.累积 红利,保单含分红利益演示.生存 总利益,保证利益演示.当年 红利,保证利益演示.累积 红利,保证利益演示.生存 总利益
1,100000,100000,1070,0,51950,100000,962,962,53982,0,0,53020
2,100000,200000,2140,0,116210,200000,2119,3098,122518,0,0,119420
3,100000,300000,3210,0,189920,300000,3281,6433,202773,0,0,196340
4,0,300000,3210,0,192980,300000,3295,9841,212451,0,0,202610
5,0,300000,3210,0,196110,300000,3309,13323,222273,0,0,208950
6,0,300000,3210,0,199320,300000,3323,16879,232249,0,0,215370
7,0,300000,3210,0,234930,300000,3337,20512,274702,0,0,254190
8,0,300000,3210,0,270540,300000,3351,24221,317231,0,0,293010
9,0,300000,3210,0,271740,300000,3364,28009,325429,0,0,297420
10,0,300000,3210,0,272950,300000,3377,31876,333716,0,0,301840
15,0,300000,3210,0,278830,300000,3439,52446,376216,0,0,323770
20,0,300000,3210,0,283830,300000,3492,75174,419994,0,0,344820
25,0,300000,3210,0,287630,300000,3535,100205,464875,0,0,364670
30,0,300000,3210,0,290570,300000,3570,127700,511360,0,0,383660
35,0,300000,3210,0,292930,300000,3596,157839,559909,0,0,402070
40,0,300000,3210,0,294880,300000,3615,190824,610894,0,0,420070
45,0,300000,0,303210,303210,303210,3651,226916,668156,0,0,441240
