年龄.年龄.年龄,昂贵医院0%赔付，0元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院0%赔付，0元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，0元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院0%赔付，0元免赔额.无基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院0%赔付，0元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，0元免赔额.无基本医疗保险或公费医疗.全球
0,"8,481","9,751","13,989","8,649","10,044","14,409"
1,"7,926","9,113","13,074","8,084","9,387","13,466"
2,"7,547","8,679","12,452","7,699","8,939","12,826"
3,"7,281","8,373","12,014","7,427","8,624","12,374"
4,"7,015","8,067","11,575","7,155","8,309","11,922"
5,"6,749","7,760","11,134","6,882","7,992","11,468"
6,"6,481","7,454","10,695","6,612","7,678","11,016"
7,"6,215","7,146","10,255","6,339","7,361","10,562"
8,"5,949","6,841","9,816","6,067","7,046","10,110"
9,"5,780","6,645","9,537","5,895","6,844","9,823"
10,"5,610","6,452","9,257","5,722","6,645","9,534"
11,"5,441","6,256","8,978","5,549","6,444","9,247"
12,"5,271","6,063","8,697","5,377","6,245","8,958"
13,"5,102","5,868","8,419","5,204","6,044","8,671"
14,"5,156","5,928","8,506","5,258","6,106","8,761"
15,"5,208","5,990","8,593","5,312","6,170","8,851"
16,"5,262","6,050","8,683","5,368","6,232","8,943"
17,"5,314","6,113","8,770","5,423","6,296","9,033"
18,"5,368","6,173","8,857","5,477","6,358","9,123"
19,"5,470","6,290","9,026","5,581","6,478","9,297"
20,"5,572","6,408","9,194","5,685","6,600","9,470"
21,"5,674","6,525","9,363","5,788","6,720","9,644"
22,"5,776","6,643","9,531","5,892","6,842","9,817"
23,"5,878","6,759","9,699","5,996","6,962","9,990"
24,"6,111","7,028","10,084","6,233","7,239","10,387"
25,"6,344","7,296","10,469","6,473","7,515","10,783"
26,"6,579","7,564","10,853","6,710","7,791","11,179"
27,"6,811","7,832","11,238","6,949","8,067","11,575"
28,"7,044","8,101","11,623","7,186","8,344","11,971"
29,"7,302","8,398","12,049","7,448","8,650","12,410"
30,"7,560","8,693","12,473","7,712","8,954","12,847"
31,"7,818","8,990","12,899","7,974","9,260","13,286"
32,"8,076","9,286","13,324","8,238","9,564","13,723"
33,"8,333","9,583","13,750","8,500","9,871","14,162"
