投保年龄,一次性领取.6 年交 10 年交,一次性领取.15 年交,一次性领取.20 年交,一次性领取.交至 50 岁,一次性领取.交至 55 岁,一次性领取.交至 60 岁,一次性领取.趸交,6 年交,10 年交,15 年交,20 年交,交至 50 岁,交至 55 岁,交至 60 岁,交至 65 岁,交至 65 岁
18,122172 197520,282308,361579,527561,585538,637606,1301,7443,12032,17192,22015,32102,35636,38806,,
19,119749 193600,276702,354396,504965,562963,615054,1275,7295,11792,16849,21575,30723,34258,37430,,
20,117373 189758,271204,347350,482815,540831,592951,1250,7149,11557,16512,21143,29372,32906,36080,,
21,115044 185990,265815,340445,461102,519139,571282,1225,7007,11326,16182,20720,28048,31582,34758,,
22,112760 182295,260529,333670,439818,497874,550045,1200,6867,11100,15858,20305,26751,30284,33461,,
23,110521 178672,255348,327032,418953,477030,529225,1176,6730,10878,15541,19898,25479,29011,32190,,
24,108324 175121,250265,320519,398502,456597,508821,1153,6595,10660,15229,19498,24232,27764,30945,,
25,106172 171637,245285,314139,378452,436570,488817,1130,6463,10447,14924,19107,23011,26541,29723,,
26,104060,240398,307878,358802,416937,469213,1107,6334,10237,14624,18723,21814,25343,28527,,
27,168222 101991 164874,235610,301745,339545,397694,449993,1085,6207,10032,14330,18346,20640,24169,27354,,
28,99960 161590,230912,295726,320675,378829,431158,1063,6083,9831,14042,17977,19490,23018,26204,,
29,97971 158371,226310,289832,302177,360341,412691,1042,5961,9633,13760,17615,18364,21891,25077,,
30,96018 155214,221793,284048,284048,342214,394595,1021,5841,9440,13482,17259,17259,20785,23973,,
31,94106 152120,217369,278383,268263,324451,376855,1001,5724,9250,13211,16911,16299,19703,22890,,
32,92229 149085,213028,272826,250814,307035,359469,981,5609,9063,12944,16570,15237,18642,21829,,
33,90390 146111,208777,267384,233708,289966,342430,961,5496,8881,12683,16235,14195,17602,20789,,
34,88586 143194,204606,262059,216947,273237,325726,942,5385,8702,12426,15907,13175,16583,19770,,
35,86818 140335,200521,256837,200521,256837,309357,923,5276,8526,12175,15585,12175,15585,18771,,
36,85084 137532,196514,251722,188412,242566,293312,904,5170,8354,11929,15269,11441,14718,17792,,
37,83386 134786,192590,246707,172556,226775,277586,886,5065,8185,11687,14960,10476,13757,16832,,
38,81719 132092,188741,241793,157017,211298,262176,868,4963,8019,11450,14657,9531,12816,15892,,
39,80087 129454,184973,236983,141791,196135,247070,851,4863,7857,11218,14360,8605,11894,14971,,
40,78486 126866,181279,232266,126866,181279,232266,833,4764,7697,10990,14068,7697,10990,14068,,
41,76919 124334,177663,,114684,170346,219375,817,4668,7541,10767,,6959,10329,13286,,
42,75381 121849,174128,,100304,156011,205105,800,4573,7388,10549,,6085,9457,12418,,
43,73876 119419,170673,,86212,141961,191117,784,4480,7238,10334,,5228,8603,11567,,
44,72400 117034,167285,,72400,128192,177408,768,4389,7091,10124,,4389,7767,10735,,
45,70955 114703,163973,,60934,114703,163973,752,4300,6947,9918,,3695,6947,9918,,
46,69540 112415,,,47629,103695,154107,737,4213,6806,,,2887,6281,9323,,
47,68153 110181,,,34588,90693,141137,722,4127,6668,,,2095,5492,8536,,
48,66796 107988,,,,77953,128426,708,4043,6532,,,,4719,7765,,
49,105847,,,,65467,115968,693,3961,6399,,,,3961,7009,,
50,65467 64167,,,,55105,,679,3880,6269,,,,,3335 6269,,
51 52,62894,,,,43074,,665,3801,,,,,2605,5669 4956,,
,61649,,,,31283,,652,3724,,,,,1891,,,
53,,,,,,,639,3648,,,,,,4258,4258,4258
54,,,,,,,626,3574,,,,,,3574,,
