年龄.年龄.年龄,昂贵医院100%赔付，0元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，0元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，0元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院100%赔付，0元免赔额.无基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，0元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，0元免赔额.无基本医疗保险或公费医疗.全球
0,"14,388","16,644","24,983","14,677","17,143","25,944"
1,"13,446","15,554","23,348","13,716","16,021","24,246"
2,"12,806","14,814","22,237","13,064","15,259","23,093"
3,"12,402","14,349","21,537","12,652","14,779","22,366"
4,"11,999","13,883","20,837","12,240","14,299","21,639"
5,"11,596","13,415","20,137","11,829","13,817","20,912"
6,"11,192","12,949","19,434","11,417","13,338","20,182"
7,"10,789","12,481","18,734","11,005","12,856","19,455"
8,"10,386","12,016","18,034","10,594","12,376","18,728"
9,"9,999","11,569","17,364","10,201","11,916","18,032"
10,"9,614","11,122","16,693","9,808","11,455","17,336"
11,"9,227","10,677","16,026","9,413","10,997","16,642"
12,"8,843","10,230","15,356","9,020","10,537","15,946"
13,"8,456","9,783","14,685","8,627","10,076","15,250"
14,"8,610","9,961","14,953","8,783","10,260","15,528"
15,"8,764","10,138","15,218","8,938","10,442","15,803"
16,"8,916","10,317","15,485","9,097","10,627","16,081"
17,"9,069","10,494","15,750","9,252","10,809","16,356"
18,"9,223","10,673","16,018","9,408","10,993","16,634"
19,"9,833","11,377","17,077","10,030","11,719","17,734"
20,"10,444","12,082","17,872","10,652","12,445","18,165"
21,"11,053","12,789","18,013","11,276","13,173","18,308"
22,"11,664","13,494","19,007","11,897","13,899","19,319"
23,"12,274","14,199","20,001","12,519","14,625","20,329"
24,"12,544","14,511","20,440","12,793","14,946","20,775"
25,"12,812","14,823","20,879","13,068","15,267","21,221"
26,"13,082","15,132","21,320","13,344","15,586","21,670"
27,"13,351","15,444","21,759","13,619","15,908","22,116"
28,"13,621","15,756","22,198","13,893","16,229","22,562"
29,"13,904","16,085","22,660","14,182","16,567","23,031"
30,"14,188","16,413","23,121","14,471","16,906","23,500"
31,"14,471","16,742","23,586","14,762","17,244","23,972"
32,"14,756","17,070","24,047","15,051","17,582","24,441"
33,"15,039","17,399","24,509","15,340","17,921","24,911"
34,"15,844","18,330","25,820","16,162","18,880","26,244"
35,"16,648","19,262","27,132","16,983","19,840","27,577"
36,"17,453","20,191","28,446","17,802","20,797","28,912"
