保险计划.交费期间 投保年龄,计划一.趸交,计划一.3 年交,计划一.5 年交,计划一.10 年交,计划一.15 年交,计划一.20 年交,计划一.30 年交,计划二.趸交,计划二.3 年交 5 年交,计划二.10 年交,计划二.15 年交,计划二.20 年交,计划二.30 年交
18,3931,1470,884,432,296,235,170,4083 1527,918,449,307,244,177
19,3998,1495,899,440,301,239,173,1552,934,457,312,248,180
20,4066,1520,914,447,306,243,4152 176 4221,1578,949,464,317,252,183
21,4135,1546,930,455,311,247,179 4291,1604,965,472,323,257,186
22,4205,1572,946,462,316,251,182 4362,1631,981,480,328,261,189
23,4276,1599,962,470,322,256,185 4435,1658,997,488,334,265,192
24,4348,1626,978,478,327,260,189 4508,1686,1014,496,339,270,196
25,4422,1653,994,486,333,265,192 4583,1714,1031,504,345,274,199
26,4497,1681,1011,495,339,269,195 4659,1742,1048,513,351,279,203
27,4573,1710,1028,503,344,274,199 4737,1771,1065,521,357,284,206
28,4650,1739,1046,512,350,279,202 4815,1800,1083,530,363,289,210
29,4728,1768,1064,520,356,284,206 4895,1830,1101,539,369,294,213
30,4808,1798,1082,529,362,288,210 4976,1861,1119,548,375,299,217
31,4889,1828,1100,538,369,294,214 5058,1891,1138,557,381,304,221
32,4971,1859,1119,548,375,299,218 5141,1923,1157,566,388,309,225
33,5055,1890,1137,557,381,304,222 5226,1954,1176,576,394,314,229
34,5139,1922,1157,566,388,309,226 5312,1987,1195,585,401,320,233
35,5225,1954,1176,576,395,315,230 5399,2019,1215,595,408,325,238
36,5313,1987,1196,586,402,320,234 5487,2053,1235,605,415,331,242
37,5401,2020,1216,596,409,326,239 5577,2086,1256,615,422,337,247
38,5491,2054,1236,606,416,332,243 5668,2120,1276,626,429,343,251
39,5582,2088,1257,616,423,338,248 5760,2155,1297,636,436,349,256
40,5674,2123,1278,627,430,344,253,5853,2190 1318,647,444,355,261
41,5768,2158,1300,638,438,350,258 5948,2226,1340,658,452,361,266
42,5863,2194,1321,649,446,357,263 6043,2262,1362,669,459,368,271
43,5959,2230,1343,660,454,363,269 6140,2298,1384,680,467,374,277
44,6056,2267,1366,671,462,370,274 6237,2335,1406,691,475,381,
45,6154,2304,1388,683,470,377,6336,2372,1429,703,484,388,
46,6253,2342,1411,694,478,384,6435,2412,1454,714,492,395,
47,6353,2380,1435,706,487,391,6536,2453,1479,727,501,402,
48,6454,2421,1460,718,495,398,6637,2495,1504,739,509,410,
49,6557,2462,1485,731,504,406,6739,2536,1529,751,518,422,
50,6660,2503,1510,,513,414,6842,2577,,764,527,,
51,6764,2545,1535,743 756,522,,6946,2618,1553 1578,776,536,,
52,6869,2586,1560,768,532,,7051,,2659 1603,788,546,,
53,6975,2628,1584,781,541,,7158,,2700 1627,801,555,,
54,7082,2669,1609,794,551,,7270,,2741 1652,814,,,
55,7193,2710,1634,808,,,,7382,,,,,
56,7306,2750,,,,,,,,828,,,
57,,,1658,821,,,7494,,,,,,
,7419,,,,,,,,,,,,
,,,,,,,7605,,,,,,
58,7531,,,,,,7827,7717,,,,,
59 60,7643 7754,,,,,,7936,,,,,,
61,7864,,,,,,8043,,,,,,
,,,,,,,8157,,,,,,
62 63,7979 8095,,,,,,8272,,,,,,
64,8211,,,,,,,,,,,,
