交费期间 投保年龄,主险合同被保险人为一人.趸交,主险合同被保险人为一人.3年,主险合同被保险人为一人.6年,主险合同被保险人为一人.10年,主险合同被保险人为两人.趸交,主险合同被保险人为两人.3年,主险合同被保险人为两人.6年,主险合同被保险人为两人.10年
0,11402,3815,1941,1189,11401,3814,1940,1189
1,11402,3815,1941,1189,11401,3814,1940,1189
2,11403,3815,1941,1189,11401,3814,1940,1189
3,11403,3815,1941,1190,11401,3815,1941,1189
4,11404,3815,1941,1190,11402,3815,1941,1189
5,11405,3816,1941,1190,11402,3815,1941,1189
6,11406,3816,1941,1190,11402,3815,1941,1189
7,11407,3816,1942,1190,11403,3815,1941,1189
8,11408,3817,1942,1190,11403,3815,1941,1189
9,11409,3817,1942,1190,11404,3815,1941,1189
10,11410,3817,1942,1190,11404,3815,1941,1189
11,11411,3818,1942,1190,11404,3815,1941,1189
12,11412,3818,1942,1190,11404,3815,1941,1189
13,11413,3818,1943,1190,11404,3815,1941,1189
14,11414,3819,1943,1191,11404,3815,1941,1189
15,11415,3819,1943,1191,11404,3815,1941,1189
16,11416,3819,1943,1191,11404,3815,1941,1189
17,11417,3820,1943,1191,11404,3815,1941,1189
18,11418,3820,1943,1191,11404,3816,1941,1189
19,11419,3820,1943,1191,11404,3816,1941,1189
20,11419,3820,1943,1191,11404,3816,1941,1189
21,11420,3820,1944,1191,11405,3816,1941,1189
22,11421,3821,1944,1191,11405,3816,1941,1189
23,11422,3821,1944,1191,11405,3816,1941,1189
24,11423,3821,1944,1191,11406,3816,1941,1190
25,11424,3822,1944,1192,11406,3816,1941,1190
26,11425,3822,1945,1192,11406,3816,1942,1190
27,11426,3823,1945,1192,11407,3817,1942,1190
28,11428,3823,1945,1192,11408,3817,1942,1190
29,11430,3824,1945,1192,11409,3817,1942,1190
30,11432,3825,1946,1193,11409,3817,1942,1190
31,11435,3825,1946,1193,11411,3818,1942,1190
32,11437,3826,1947,1193,11412,3818,1943,1190
33,11441,3827,1947,1194,11413,3819,1943,1190
34,11444,3828,1948,1194,11414,3819,1943,1190
35,11447,3830,1948,1194,11416,3819,1943,1190
36,11450,3830,1949,1194,11416,3820,1944,1191
37,11453,3831,1949,1195,11417,3820,1944,1191
38,11456,3832,1950,1195,11418,3820,1944,1191
39,11458,3833,1950,1195,11418,3820,1944,1191
40,11461,3834,1951,1195,11418,3820,1944,1191
41,11463,3835,1951,1196,11418,3820,1944,1190
42,11465,3835,1951,1196,11418,3820,1944,1190
43,11468,3836,1952,1196,11418,3820,1944,1190
44,11470,3837,1952,1196,11418,3820,1944,1191
45,11473,3838,1953,1196,11418,3820,1944,1191
46,11476,3839,1953,1197,11418,3820,1944,1191
47,11480,3840,1954,1197,11418,3820,1944,1191
48,11483,3841,1954,1197,11419,3821,1944,1191
49,11487,3842,1955,1198,11419,3821,1944,1191
