18,144749,233989,334355,428147,624331,693063,754727,809779,1569,8973,14503,20719,26524,38652,42896,46723,50135,50135
19,141865,229324,327678,419588,597527,666261,727952,783044,1537,8794,14213,20303,25991,36989,41231,45059,48474,48474
20,139039,224751,321134,411198,571257,639988,701715,756844,1507,8618,13928,19895,25467,35358,39599,43428,46845,46845
21,136266,220264,314712,402966,545503,614235,675989,731160,1476,8445,13648,19494,24954,33761,38000,41830,45249,45249
22,133548,215866,308418,394897,520268,588991,650781,705988,1447,8275,13374,19102,24450,32196,36433,40262,43684,43684
23,130881,211551,302242,386980,495539,564247,626064,681314,1418,8109,13105,18716,23956,30661,34898,38727,42151,42151
24,128266,207321,296188,379219,471293,539991,601845,657131,1389,7946,12841,18338,23471,29158,33393,37221,40648,40648
25,125701,203170,290248,371605,447537,516217,578098,633429,1362,7786,12582,17968,22996,27685,31919,35745,39175,39175
26,123187,199102,284424,364140,424259,492911,554830,610197,1334,7629,12328,17604,22529,26241,30473,34299,37731,37731
27,120720,195109,278711,356818,401438,470070,532016,587428,1307,7476,12079,17247,22072,24826,29057,32881,36316,36316
28,118301,191197,273109,349638,379077,447693,509662,565109,1281,7324,11835,16897,21623,23440,27670,31491,34929,34929
29,115928,187356,267615,342597,357169,425769,487744,543237,1255,7176,11595,16554,21183,22082,26310,30130,33570,33570
30,113601,183593,262226,335691,335691,404276,466270,521798,1230,7031,11360,16217,20751,20751,24978,28796,32238,32238
31,111319,179898,256942,328922,317015,383217,445214,500788,1205,6889,11129,15887,20327,19595,23674,27490,30932,30932
32,109081,176279,251760,322281,296350,362585,424584,480194,1181,6749,10903,15562,19911,18314,22394,26209,29653,29653
33,106886,172725,246679,315774,276100,342362,404358,460013,1157,6612,10681,15244,19504,17060,21142,24955,28399,28399
34,104733,169244,241694,309389,256253,322547,384540,440232,1133,6477,10463,14933,19104,15831,19915,23727,27170,27170
35,102622,165827,236810,303136,236810,303136,365112,420848,1110,6345,10249,14626,18712,14626,18712,22522,25966,25966
36 37,100552 98522,162479 159194,232017 227323,296998 290990,222527 203768,286270 267584,346074 327415,401850 383231,1088,6215 6088,10039,14326,18327,13746 12584,17669 16512,20188,21343 23629,24785
38,96531,155974,222715,285093,185382,249282,,364985,1065,5964,9834 9632,14032 13743,17950 17580,11447,15379,19056,22495,22495
39,94579,152816,218204,279323,167370,231350,309127 291207,347102,1044 1022,5842,9434,13460,17217,10332,14269,17947,21385,21385
开始领取年龄 40,92664,149721,213776,273658,149721,213776,273658,329583,1002,5722,9240,13182,16862,9240,13182,16862,20297,20297
=68 岁,90789,146687,209444,268119,135353,200906,258434,312407,981,5604,9050,12910,16512,8354,12390,15921,19231,19231
41 42,88948,143712,205189,262708,118352,183955,241560,295582,961,5489,8863,12643,16171,7303,11342,14877,18188,18188
43,87146,140797,201030,257398,101698,167352,225018,,,5375,8680,12381,15836,,10315,13855,17166,17166
44,85377,137939,196945,252202,85377,151079,208819,279097 262938,941 922,5265,8500,12124,15507,6273 5265,9310,12853,16165,16165
45,83646,135140,192952,247109,71867,135140,192952,247109,903,5156,8324,11872,15185,4432,8324,11872,15185,15185
46,81946,132396,189034,242121,56154,122181,181360,233373,884,5049,8152,11626,14870,3462,7527,11161,14339,14339
47,80284,129710,185204,237246,40755,106831,166050,218128,866,4944,7983,11384,14561,2511,6579,10215,13397,13397
48,78652,127076,181448,232464,,91790,151054,203181,848,4842,7817,11147,14258,,5651,9290,12475,12475
49,77057,124501,177776,,,77057,136368,188546,831,4741,7654,10915,,,4741,8383,11572,11572
50 73962,75492,121974,174196,,,64873,121974,174196,813,4643,7495,10687,,,3992,7495,10687,10687
51,,119507,170706,,,50685,110292,163767,,4546,7339,10465,,,3118,6778,10049,10049
52 72462,,117085,167284,,,36784,96434,149933,796 780,4451,7186,10246,,,2261,,5924,9197
53,70995,114723,163945,,,,82859,136389,764,4359,7036,10033,,,,5087,8363,8363
54 69558,,112404,,,,,69558,123129,748,4268,6890,,,,,4268,7546,7546
55,68153,110144,,,,,58568,110144,732,4179,6746,,,,,3595,6746,6746
56,66779,107927,,,,,45763,99608,717,4092,6605,,,,,6102,6102,6102
,,,,,,,33213,,,4006,6467,,,,,2807,2035,5332
57,65435,105768,,,,,,87097,702,,,,,,,4579,4579,4579
58 59,64122 62838,,,,,,,74844 62838,688 673,3923 3840,6332,,,,,,,3840 3236
60 61,61586,,,,,,,52920 41355,659 646,3760 3681,,,,,,2526,2526,2526
62,,,,,,,,,632,3603,,,,,,,1830,1830
,,,,,,,,30023,,,,,,,,,,
