投保年龄,一次性领取.6 年交,一次性领取.10 年交,一次性领取.15 年交,一次性领取.20 年交,一次性领取.交至 50 岁 交至 55 岁,一次性领取.交至 60 岁,一次性领取.交至 65 岁,趸交,6 年交,10 年交,15 年交,=20 20 年交,交至 50 岁,交至 55 岁,交至 60 岁,交至 65 岁
18,98192,153843,223831 289487,434911,486979,,,1033,5790,9070,13194,17063,25629,28701,,
19,96496,151183 219961,284481,416591,468667,,,1016,5689,8912,12965,16767,24548,27620,,
20,94828,148569 216156,279560,398587,450672,,,998,5591,8758,12741,16476,23486,26558,,
21,93189,146000 212418,274724,380893,432987,,,981,5494,8606,12519,16190,22442,25514,,
22,91579,143475 208742,269970,363505,415607,,,964,5399,8456,12302,15908,21416,24488,,
23,89995,140993 205131,265299,346416,398527,,,947,5305,8310,12088,15632,20408,23480,,
24,88440,138554 201581,260707,329622,381742,,,931,5213,8165,11878,15360,19417,22489,,
25,86910,136156 198092,256194,313116,365245,,,914,5123,8023,11672,15093,18444,21515,,
26,85408,133800 194663,251759,296896,349034,,,899,5034,7884,11469,14830,17487,20558,,
27,83930,131484 191293,247401,280954,333102,,,883,4946,7747,11269,14572,16547,19618,,
28,82478,129207 187980,243117,265289,317445,,,868,4860,7612,11073,14318,15624,18694,,
29,81051,126970 184725,238907,249897,302058,,,853,4776,7480,10880,14069,14716,17786,,
30,79649,124771 181525,234771,234771,286935,,,838,4693,7350,10691,13824,13824,16894,,
31,78270,122610 178381,230704,223509,272075,,,823,4611,7221,10504,13583,13161,16017,,
32,76916,120485 175290,226710,208839,257469,,,809,4531,7096,10321,13346,12296,15155,,
33,75584,118398 172254,222789,194424,243116,,,795,4452,6972,10141,13113,11446,14309,,
34,74276,116346 169270,218935,180258,229012,,,781,4375,6850,9964,12884,10611,13477,,
35,72990,114331 166337,215150,166337,215150,,,768,4299,6731,9790,12659,9790,12659,,
36,71726,112349 163456,,157475,204835,,,754,4224,6613,9619,,9270,12053,,
37,70484,110403 160625,,143951,191389,,,741,4150,6498,9451,,8473,11260,,
38,69264,108490 157845,,130660,178176,,,728,4078,6384,9286,,7689,10481,,
39,68065,106611 155112,,117599,165189,,,716,4007,6273,9124,,6920,9716,,
40,66887,104765 152429,,104765,152429,,,703,3937,6163,8964,,6163,8964,,
41,65730,102951,,99277,144319,,,691,3868,6055,,,5843,8488,,
42,64592,101170,,86762,131923,,,679,3801,5949,,,5106,7758,,
43,63475,,,,,,,667,3735,5845,,,4381,7040,,
44,62378,,,,,,,655,3669,5743,,,3669,6335,,
45,61300,,,,,,,644,3605,5642,,,3155,5642,,
46,60241,,,,,,,633,3542,,,,2464,5351,,
47,,,,,,,,,,,,,1786,4675,,
48 49,,,,,,,,622 611 600,3480 3419 3359,,,,,4012 3359,,
