投保性别 交费期间.投保性别 交费期间,趸交,男性.3 年交,男性.5 年交,10 年交,女性.趸交 3 年交,女性.5 年交,女性.10 年交
0,927,2689,4444,8487,927 2690,4447,8495
1,927,2688,4444,8486,927 2690,4447,8494
2,927,2688,4443,8484,927 2690 927,4447,8494
3,927,2687,4442 4441,8482,2690,4446,8493
4,926,2687,,8480,927 2690,4446,8492
5,926,2686,4440,8477,927 2689,4446,8491
6 7,926 926,2686 2685,4439 4438,8475 8472,927 2689 2689,4445 4445,8490 8488
8,926,2684,4437,8469,927 927,4444,8487
,,,,,2688,4443,
9,925,2683,4435,8467,927 2688,,8486
10,925,2683,4434,8464,927 2688,4443,8485
11,925 925,2682 2681,4433 4431,8462 8460,926 2687 926,4442 4442,8484 8483
12,924,,,,2687,,
13,,2680,4430,8458,926 2687,4441,8482
14,924,2679,4428,8456,926 2686,4440,8481
15,924,2678,4427,8454,926 2686,4440,8481
16,923,2677,4426,8452,926 2685,4439,8480
17,923,2677,4425,8450,926 2685,4439,8479
18,923,2676,4424,8448,926 2685,4439,8479
19,923,2676,4423,8446,926 2685,4439,8478
20,923,2675,4423,8444,926 2685,4438,8477
21,922,2675,4422,8441,925 2684,4438,8476
22,922,2674,4421,8438,925 2684,4438,8475
23,922,2673,4419,8435,925 2684,4437,8474
24,922,2672,4418,8431,925 2684,4437,8473
,922,2671,,8427,2683,4436,8471
25 26,921,2670,4416,,925 925,4435,8469
27,921,2669,4415 4413,8423 8418,2683 2683,4435,8467
28,921,2668,4410,8413,925 925,4434,8465
29,920,2667,4408,8407,2682 925 2681,4433,8463
30,920,2665,4405,8400,925 2681,4432,8460
31,919,2663,4402,8393,924 2680,4430 4429,8457
32,919,2661,4399,8386,924 2679,,8453 8450
33,918,2659,4396,8379 8372,924 2678 924 2677,4428 4426,8447
34,918 917,2657,4392,8365,2676,4424,8444
35,,2655,4388,,923,,
36,916 916,2652,4385,8359 8353,923 2675 923 2674,4422 4421,8441 8438
37,915,2650,4381,8348,922 2673,4419,8435
38 39,914,2648,4378 4375,8343,922 2672,4418,8433
40,914,2646 2645,4372,8339,922 2672,4416,8431
41,913,2643,4369,8335 8330,921 2671 921,4415 4414,8429 8427
42,912 912,2641,4367,8325,2670 2669,4413,8425
43,,2639,4364,,921,,
44,911 911,2638,4362,8320 8314,921 2668 2668,4412 4410,8422 8420
45,910,2636,4359,8308,920 2667,4409,8417
46 47,910,2634 2633,4357 4354,,920 2666,4408,
,909,2631,,8302 8295,920 2665,4407,8414 8410
48,,,4351,,920,,
49,909 908,2629,4348 4344,8286 8277,919 2664 2663,4405 4403,8406 8401
50,908,2627 2624,4341,,919 2662,4401,8395
51 52,,,4336,8265 8252,919 2661,4399,
,907 907,2621,,,919,,8388
53,,2618,4331,8235,918 2659,4397,8379
54,906,2615,4325,8212,918 2657,4393,8368
55,905 904,2610,4318,,917 2655,4390,8354
56,,2605,4309,8184 8147 8099,917,4385,8336
57 58,903 901,2599 2591,4299 4284,8040,2652 2649 2645,4379 4372,8314 8286
59,899,2581,4264,7960,2640,4362,8252
,,,,,916 915 914,4349,
60,897,2568,4237,7853,2633,,8210
61,894,2549,4201,7704,913 912 909,4333,8156
62,889,2521,,7471,2625,,8088
63,882,,4153,,2613,4313,
,,2486,4089,6982,2599,4288,8000
64,874,2437,,,906 2581,,7882
,,,3998,,902,4257,
65 66,863,2363,,,,,7712
,848,,,,898 2559,,
,,2206,3850,,,4218,
,,,,,2531 2494,,
,,,,,892,,
,,,,,885,,
,827,,,,,,
67 68,788,,,,876 2439,,
