保险计划.保险期间.交费期间 投保年龄,计划一.30 年.10 年交,计划一.30 年.15 年交,计划一.至 60 周岁的保单周年日.10 年交,计划一.至 60 周岁的保单周年日.15 年交,计划一.至 60 周岁的保单周年日.20 年交,计划二.30 年.10 年交,计划二.30 年.15 年交,计划二.至 60 周岁的保单周年日.10 年交,计划二.至 60 周岁的保单周年日.15 年交,计划二.至 60 周岁的保单周年日.20 年交,计划三.30 年.10 年交,计划三.30 年.15 年交,计划三.至 60 周岁的保单周年日.10 年交,计划三.至 60 周岁的保单周年日.15 年交,计划三.至 60 周岁的保单周年日.20 年交
0,16,11,89,61,47,21,14,116,81,62,28,20,131,91,70
1,16,11,89,62,48,21,15,117,81,63,29,20,132,91,70
2,17,12,90,62,48,22,16,118,82,63,30,21,133,92,71
3,17,12,91,63,48,24,16,119,83,64,32,22,134,93,72
4,18,13,92,63,49,25,17,120,83,64,33,23,135,94,72
5,19,13,92,64,49,27,19,122,84,65,35,24,137,95,73
6,21,14,93,65,50,29,20,123,85,66,37,26,138,96,74
7,22,15,94,65,50,31,21,124,86,66,40,28,139,97,74
8,24,16,95,66,51,33,23,126,87,67,42,29,141,97,75
9,25,18,96,67,51,36,25,127,88,68,45,31,142,98,76
10,27,19,97,67,52,38,27,128,89,68,48,33,143,99,76
11,29,21,98,68,52,41,29,129,90,69,51,36,145,100,77
12,32,22,98,68,53,44,31,130,91,70,54,38,146,101,78
13,34,24,99,69,53,48,33,132,91,70,58,40,147,102,78
14,37,26,100,69,53,51,36,133,92,71,62,43,148,103,79
15,39,27,100,70,54,55,38,134,93,71,66,46,149,104,80
16,42,30,101,70,54,59,41,135,93,72,70,49,150,104,80
17,45,32,102,71,54,63,44,135,94,72,74,52,151,105,80
