年龄.年龄.年龄,昂贵医院100%赔付，0元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，0元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，0元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院100%赔付，0元免赔额.无基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，0元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，0元免赔额.无基本医疗保险或公费医疗.全球
0,"10,602","12,195","17,066","10,816","12,560","17,346"
1,"9,907","11,396","15,950","10,109","11,738","16,212"
2,"9,435","10,853","15,192","9,627","11,179","15,441"
3,"9,103","10,469","14,657","9,286","10,783","14,897"
4,"8,770","10,084","14,121","8,945","10,387","14,353"
5,"8,435","9,702","13,584","8,606","9,993","13,806"
6,"8,103","9,317","13,048","8,265","9,596","13,262"
7,"7,768","8,934","12,511","7,926","9,202","12,716"
8,"7,435","8,550","11,975","7,585","8,806","12,172"
9,"7,223","8,306","11,635","7,369","8,556","11,826"
10,"7,013","8,063","11,293","7,152","8,305","11,478"
11,"6,801","7,822","10,953","6,938","8,057","11,133"
12,"6,591","7,579","10,611","6,722","7,806","10,785"
13,"6,379","7,335","10,271","6,506","7,555","10,439"
14,"6,446","7,412","10,377","6,574","7,635","10,547"
15,"6,512","7,489","10,484","6,643","7,714","10,656"
16,"6,579","7,564","10,593","6,710","7,791","10,767"
17,"6,645","7,641","10,699","6,778","7,870","10,875"
18,"6,712","7,718","10,806","6,847","7,950","10,983"
19,"6,838","7,864","11,011","6,976","8,099","11,192"
20,"6,965","8,011","11,217","7,107","8,251","11,401"
21,"7,094","8,157","11,422","7,236","8,401","11,610"
22,"7,221","8,304","11,628","7,367","8,553","11,819"
23,"7,348","8,450","11,833","7,496","8,703","12,027"
24,"7,639","8,785","12,303","7,793","9,048","12,504"
25,"7,930","9,119","12,772","8,090","9,393","12,981"
26,"8,223","9,456","13,241","8,387","9,740","13,458"
27,"8,514","9,791","13,710","8,685","10,085","13,935"
28,"8,805","10,126","14,180","8,982","10,429","14,412"
29,"9,128","10,496","14,700","9,311","10,811","14,941"
30,"9,450","10,868","15,217","9,639","11,194","15,467"
31,"9,772","11,238","15,737","9,968","11,575","15,995"
32,"10,095","11,610","16,255","10,296","11,959","16,521"
33,"10,417","11,980","16,775","10,625","12,340","17,050"
34,"10,591","12,180","17,056","10,804","12,545","17,336"
35,"10,766","12,380","17,335","10,980","12,751","17,619"
36,"10,939","12,581","17,617","11,159","12,959","17,906"
