,,,保单含分红利益演示,保单含分红利益演示,保单含分红利益演示,保单含分红利益演示,保证利益演示,保证利益演示,保证利益演示,保证利益演示
保单 年度,期交 保费,累计 保费,生存 总利益,身故 总利益,当年 交清增 额保额,累积 交清增 额保额,生存总利益 （现金价值 /退保金）,身故 总利益,当年 交清增 额保额,累积交清 增额保额
1,100000,100000,17889,160383,882,882,17506,160000,0,0
2,100000,200000,46139,281304,2014,2896,44835,280000,0,0
3,100000,300000,86178,422820,3139,6035,83359,420000,0,0
4,100000,400000,144938,564989,4257,10292,139949,560000,0,0
5,100000,500000,210215,707874,5366,15658,202341,700000,0,0
6,100000,600000,282281,851543,6468,22126,270738,840000,0,0
7,0,600000,607665,872092,6538,28664,575573,840000,0,0
8,0,600000,625424,880182,6608,35272,585242,840000,0,0
9,0,600000,643689,888625,6679,41951,595064,840000,0,0
10,0,600000,662527,897438,6750,48701,605089,840000,0,0
20,0,600000,883128,1008726,7504,120278,714402,840000,0,0
30,0,600000,1183343,1183343,8437,200277,849160,849160,0,0
40,0,600000,1586454,1586454,9509,290436,1010025,1010025,0,0
50,0,600000,2126820,2126820,10718,392060,1201323,1201323,0,0
60,0,600000,2851143,2851143,12081,506603,1428804,1428804,0,0
65,0,600000,3301021,3301021,12826,569225,1558168,1558168,0,0
