18,120494,188597,274261,354535,532169,595798,653658,705959,1298,7265,11366,16524,21355,32034,35850,39342,42500,42500
19,118384,185284,269437,348290,509625,573239,631139,683474,1275,7137,11165,16231,20975,30672,34488,37980,41140,41140
20,116308,182028,264696,342155,487466,551080,609005,661384,1253,7011,10967,15943,20602,29335,33150,36640,39803,39803
21,114269,178825,260032,336118,465698,529295,587261,639674,1231,6887,10772,15659,20235,28021,31834,35325,38490,38490
22,112263,175677,255450,330187,444316,507897,565890,618347,1209,6765,10581,15381,19874,26730,30542,34031,37200,37200
23,110292,172581,250940,324352,423300,486861,544894,597387,1188,6645,10392,15106,19519,25462,29274,32761,35931,35931
24,108353,169538,246511,318619,402655,466199,524259,576796,1167,6528,10207,14836,19169,24216,28026,31512,34686,34686
25,106448,166545,242150,312979,382378,445905,503987,556561,1146,6412,10025,14571,18826,22993,26802,30286,33461,33461
26,104573,163603,237869,307436,362447,425969,484063,536681,1126,6298,9846,14310,18488,21791,25599,29081,32259,32259
27,102732,160709,233653,301984,342870,406375,464491,517146,1106,6186,9670,14053,18155,20610,24417,27898,31077,31077
28,100920,157866,229514,296627,323642,387131,445253,497953,1087,6076,9497,13801,17828,19450,23256,26736,29916,29916
29,99139,155067,225439,291358,304742,368229,426356,479094,1067,5967,9326,13553,17507,18310,22116,25594,28775,28775
30,97388,152319,221437,286180,286180,349650,407782,460566,1048,5861,9159,13308,17191,17191,20995,24473,27654,27654
31,95667,149613,217499,281089,272490,331405,389538,442360,1030,5756,8994,13068,16880,16369,19895,23372,26553,26553
32,93974,146957,213631,276086,254503,313483,371603,424474,1011,5653,8831,12832,16574,15285,18815,22290,25471,25471
33,92311,144341,209825,271168,236827,295871,353987,406899,993,5551,8672,12599,16273,14220 17753,,21228,24407,24407
34,90675,141774,206088,266334,219469,278577,336674,389634,976,5451,8515,12371,15977,13174,16710,20184,23363,23363
35,89067,139246,202411,261585,202411,261585,319663,372667,958,5353,8361,12146,15687,12146,15687,19159,22336,22336
36,87486,136765,198801,256917,191750,249091,302951,356002,941,5257,8209,11925,15401,11509,14938,18153,21328,21328
37,85932,134322,195249,252333,175189,232625,286542,339623,924,5162,8059,11707,15120,10512,13946,17164,20338,20338
38,84405,131926,191762,247826,158926,216458,270432,323537,908,5069,7913,11494,14843,9533,12973,16194,19366,19366
开始领取年龄 39,82904,129567,188334,243403,142947,200570,254602,307727,891,4977,7768,11284,14572,8571,12016,15240,18412,18412
=66 岁 40,81429,127253,184968,239055,127253,184968,239055,292198,875,4887,7626,11077,14304,7626,11077,14304,17474,17474
41,79979,124975,181659,234791,120846,175258,227662,276940,859,4798,7487,10874,14042,7251,10499,13623,16554,16554
42,78555,122742,178412,230599,105557,160114,212607,261947,844,4711,7350,10674,13784,6331,9588,12718,15651,15651
43,77155,120544,175222,226490,90535,145237,197811,247222,829,4625,7215,10478,13531,5428 8693,,11827,14763,14763
44,75780,118389,172091,222475,75780,130625,183286,232752,814,4541,7082,10285,13282,4541,7815,10954,13892,13892
45,74429,116269,169017,218533,65222,116269,169017,218533,799,4458,6952,10096,13037,3911,6952,10096,13037,13037
46,73104,114193,166001,214670,50921,110479,160187,208155,785,4377,6824,9910,12797,3052,6615,9573,12419,12419
47,71801,112150,163041,,36871,96494,146338,194377,770,4296,6698,9726,,2208,5775,8741,11591,11591
48,70524,110150,160138,,,82761,132738,180833,756,4218,6574,9546,,,4951,7924,10778,10778
49,69268,108183,157293,,,69268,119379,167543,743,4141,6453,9369,,,4141,7121,9980,9980
50,68038,106258,154502,,,59634,106258,154502,729,4065,6333,9195,,,3568,6333,9195,9195
51,66829,104368,151769,,,46557,101017,146472,716,3990,6216,9024,,,2784,6033,8724,8724
52,65645,102517,,,,33709,88235,133815,703,3917,6100,,,,2013,5267,7964,7964
53,64482,100702,,,,,75677,121386,690,3845,5986,,,,,4514,7217,7217
54,63345,,,,,,,,677,3774,5874,,,,,3774,6484,6484
55,62227,,,,,,,,665,3705,5763,,,,,3254,3254,5763
56,61136,,,,,,,,653,3636,5654,,,,,,2539,5500
57,60062,,,,,,,,641,3569,,,,,,4113,4113,4113
58 59,,,,,,,,,629,3503 3437,,,,,,,3437,3437
60,,,,,,,,,618 606,3373,,,,,,,,2967
