18,135713,219393,313527,401513,585637,650083,707888,759544,1458,8343,13486,19267,24668,35956,39909,43467,46639
19,133014,215029,307282,393507,560509,624973,682807,734501,1429,8177,13216,18881,24173,34410,38362,41921,45096
20,130368,210747,301156,385656,535885,600363,658225,709955,1401,8013,12952,18502,23687,32895,36845,40406,43583
21,127774,206551,295150,377956,511753,576235,634127,685897,1373,7853,12692,18131,23211,31410,35359,38921,42100
22,125229,202433,289260,370407,488093,552589,610509,662313,1345,7696,12438,17767,22744,29955,33903,37466,40647
23,122734,198398,283484,363003,464908,529406,587357,639201,1318,7541,12188,17409,22286,28528,32475,36039,39222
24,120288,194438,277819,355744,442188,506686,564664,616544,1292,7390,11943,17059,21836,27131,31076,34640,37826
25,117888,190557,272264,348624,419914,484411,542420,594341,1266,7242,11703,16715,21395,25761,29706,33270,36458
26,115535,186749,266818,341645,398087,462581,520618,572574,1241,7096,11468,16378,20963,24419,28362,31926,35117
27,113228,183017,261475,334798,376699,441180,499247,551244,1216,6953,11237,16047,20539,23103,27046,30610,33802
28,110965,179355,256238,328087,355732,420204,478301,530333,1191,6813,11010,15722,20122,21815,25756,29319,32514
29,108746,175766,251099,321504,335185,399643,457770,509843,1167,6676,10788,15404,19715,20552,24492,28054,31251
30,106570,172244,246064,315053,315053,379490,437647,489755,1144,6541,10570,15092,19314,19314,23253,26814,30014
31,104435,168792,241123,308723,297534,359737,417922,470072,1121,6409,10356,14786,18922,18239,22040,25599,28801
32,102343,165406,236282,302523,278151,340385,398591,450776,1098,6279,10146,14485,18536,17048,20850,24407,27612
33,100290,162087,231531,296438,259160,321426,379641,431868,1076,6152,9940,14190,18159,15881,19685,23241,26447
34,98279,158831,226877,290482,240550,302844,361072,413332,1054,6028,9738,13901,17788,14738,18544,22098,25306
35,96305,155640,222310,284633,222310,284633,342867,395171,1033,5905,9540,13618,17425,13618,17425,20979,24187
36,94371,152510,217838,278911,208896,268805,325030,377368,1012,5785,9346,13340,17069,12797,16455,19881,23090
37,92472,149442,213448,273292,191297,251287,307542,359924,992,5667,9155,13067,16720,11717,15379,18807,22016
开始领取年龄 38,90614,146434,209151,267796,174054,234113,290407,342830,971,5552,8968,12800,16377,10658,14325,17754,20963
=65 岁 39,88789,143484,204933,262423,157152,217289,273612,326074,952,5439,8785,12538,16042,9621,13292,16723,19932
40,87002,140594,200806,257151,140594,200806,257151,309658,932,5328,8605,12280,15713,8605,12280,15713,18920
41,85248,137760,196756,251991,127097,188707,242855,293569,913,5219,8429,12028,15390,7780,11542,14837,17930
42,83531,134985,192793,246933,111146,172801,227009,277801,895,5112,8256,11781,15074,6802,10567,13866,16959
43,81846,132262,188906,241978,95513,157215,211479,262355,876,5007,8087,11539,14764,5843 9611,,12914,16007
44,80197,129598,185103,237131,80197,141949,196270,247213,859,4904,7921,11302,14461,4904,8675,11982,15075
45,78580,126984,181374,232377,67503,126984,181374,232377,841,4804,7758,11069,14163,4129,7758,11069,14163
46,76996,124428,177727,,52751,114804,170468,219482,824,4705,7598,10841,,3225,7015,10405,13374
47,75443,121919,174167,,38295,100392,156099,205177,807,4608,7442,10617,,2340,6132,9525,12498
48,73924,119468,170692,,,86272,142020,191157,790,4513,7289,10399,,,5267,8663,11639
49,72435,117063,167285,,,72435,128225,177419,774,4420,7138,10184,,,4420,7818,10798
50,70977,114714,163958,,,60976,114714,163958,758,4329,6991,9974,,,3722,6991,9974
51,69550,112409,,,,47652,103721,154133,743,4240,6847,,,,2907,6322,9378
52,68153,110161,,,,34592,90702,141141,727,4153,6706,,,,2109,5526,8584
53,66787,107955,,,,,77947,128410,712,4067,6567,,,,,4747,7806
54,65449,105804,,,,,65449,115934,698,3983,6432,,,,,3983,7045
55,64142,,,,,,55104,,683,3901,6299,,,,,3354 6299,3354 6299
56,62863,,,,,,43065,,669,3820,,,,,,2620,5697
57,61614,,,,,,31267,,655,3741,,,,,,1900,4979
58,,,,,,,,,642,3664,,,,,,,4276
59,,,,,,,,,629,3588,,,,,,,3588
