年龄.年龄.年龄,昂贵医院0%赔付，1万元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院0%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院0%赔付，1万元免赔额.无基本医疗保险或公费医疗.中国 （含港澳台）,昂贵医院0%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球
0,"4,181","4,452","6,195","4,265","4,586","6,380"
1,"3,908","4,161","5,790","3,987","4,285","5,964"
2,"3,722","3,962","5,514","3,795","4,081","5,680"
3,"3,596","3,828","5,327","3,666","3,943","5,487"
4,"3,469","3,695","5,139","3,537","3,806","5,293"
5,"3,343","3,560","4,952","3,408","3,666","5,100"
6,"3,216","3,426","4,766","3,282","3,529","4,909"
7,"3,089","3,291","4,579","3,150","3,389","4,716"
8,"2,963","3,157","4,391","3,022","3,252","4,523"
9,"2,882","3,071","4,271","2,938","3,163","4,400"
10,"2,802","2,985","4,152","2,859","3,075","4,276"
11,"2,721","2,897","4,032","2,775","2,984","4,153"
12,"2,642","2,811","3,912","2,694","2,896","4,029"
13,"2,561","2,726","3,792","2,613","2,807","3,906"
14,"2,597","2,764","3,847","2,649","2,847","3,962"
15,"2,633","2,802","3,901","2,685","2,886","4,018"
16,"2,667","2,843","3,953","2,723","2,928","4,071"
17,"2,680","2,882","4,007","2,735","2,968","4,127"
18,"2,689","2,920","4,061","2,746","3,008","4,183"
19,"2,701","3,017","4,195","2,757","3,108","4,320"
20,"2,705","3,112","4,330","2,762","3,205","4,460"
21,"2,707","3,209","4,464","2,815","3,305","4,597"
22,"2,789","3,304","4,599","2,843","3,403","4,737"
23,"2,870","3,401","4,732","2,927","3,503","4,874"
24,"3,008","3,566","4,961","3,069","3,673","5,110"
25,"3,148","3,731","5,191","3,209","3,843","5,347"
26,"3,286","3,896","5,419","3,352","4,013","5,582"
27,"3,426","4,061","5,650","3,492","4,183","5,820"
28,"3,564","4,226","5,878","3,634","4,353","6,055"
29,"3,695","4,382","6,095","3,767","4,514","6,278"
30,"3,828","4,538","6,312","3,903","4,674","6,502"
31,"3,957","4,692","6,527","4,036","4,833","6,723"
32,"4,088","4,848","6,744","4,170","4,993","6,946"
33,"4,219","5,004","6,961","4,303","5,154","7,170"
34,"4,280","5,076","7,063","4,366","5,228","7,274"
