18,140242,226768,324191,415296,606094,673048,733415,787714,1496,8564,13846,19792,25351,36986,41066,44755,48070,48070
19,137474,222291,317786,407087,580170,647127,707510,761827,1467,8394,13572,19400,24848,35402,39482,43171,46487,46487
20,134760,217900,311506,399039,554760,621718,682114,736449,1438,8228,13303,19015,24355,33849,37929,41618,44935,44935
21,132099,213596,305348,391145,529851,596808,657220,711572,1409,8065,13040,18638,23872,32328,36406,40096,43414,43414
22,129490,209376,299311,383407,505431,572389,632813,687185,1381,7906,12781,18268,23398,30836,34914,38603,41923,41923
23,126932,205237,293389,375818,481496,548449,608889,663279,1354,7749,12528,17906,22933,29374,33451,37141,40461,40461
24,124424,201179,287585,368378,458034,524981,585434,639844,1327,7595,12279,17550,22477,27941,32018,35706,39029,39029
25,121964,197201,281891,361081,435032,501974,562444,616871,1301,7445,12036,17201,22029,26536,30612,34301,37624,37624
26,119552,193299,276310,353928,412487,479422,539904,594352,1275,7297,11797,16859,21591,25159,29235,32922,36247,36247
27,117187,189473,270836,346912,390389,457311,517810,572275,1250,7152,11562,16524,21161,23810,27885,31572,34897,34897
28,114868,185721,265469,340035,368724,435638,496149,550636,1225,7010,11332,16194,20739,22487,26561,30247,33574,33574
29,112594,182043,260205,333288,347490,414396,474918,529421,1201,6871,11107,15872,20325,21190,25264,28949,32277,32277
30,110365,178435,255046,326677,326677,393577,454102,508628,1177,6734,10886,15555,19919,19919,23993,27677,31006,31006
31,108177,174898,249984,320190,308527,373166,433700,488241,1153,6600,10669,15245,19521,18812,22747,26430,29759,29759
32,106034,171429,245023,313834,288483,353161,413696,468260,1130,6468,10456,14940,19131,17588,21525,25208,28538,28538
33,103931,168028,240156,307598,268838,333554,394091,448671,1108,6339,10247,14642,18748,16389,20328,24010,27340,27340
34,101870,164693,235387,301488,249582,314333,374868,429471,1086,6213,10043,14349,18373,15214,19155,22836,26166,26166
35,99847,161423,230707,295493,230707,295493,356028,410648,1064,6089,9842,14062,18005,14062,18005,21686,25016,25016
36,97866,158216,226122,289620,216747,279075,337557,392198,1043,5967,9645,13780,17644,13212,17004,20558,23888,23888
37,95921,155072,221624,283858,198526,260939,319453,374112,1022,5848,9452,13504,17290,12100,15897,19453,22782,22782
38,94016,151990,217217,278214,180667,243158,301704,356384,1002,5731,9263,13233,16943,11010,14812,18370,21699,21699
开始领取年龄 39,92147,148967,212893,272678,163161,225734,284307,339007,982,5616,9077,12967,16602,9942,13749,17309,19595,19595
=67 岁 40,90315,146004,208657,267254,146004,208657,267254,321974,962,5504,8895,12707,16269,8895,12707,16269,,
41,88518,143098,204502,261946,131969,196041,252405,305280,943,5393,8717,12451,15941,8040,11939,15364,18575,18575
42,86757,140251,200431,256741,115432,179554,235992,288914,924,5285,8542,12201,15620,7032,10934,14362,17575,17575
43,85030,137458,196439,251642,99224,163396,219910,272875,906,5179,8370,11955,15306,6044,9948,13382,16595,16595
44,83338,134722,192529,246642,83338,147561,204144,257155,887,5075,8202,11714,14997,5075,8983,12420,15635,15635
45,81678,132038,188694,241744,70128,132038,188694,241744,870,4973,8037,11478,14695,4271,8037,11478,14695,14695
46,80052,129410,184938,236947,54821,119351,177296,228321,852,4873,7875,11247,14398,3338,7265,10786,13877,13877
47,78458,126832,181256,232245,39818,104393,162384,213472,835,4775,7716,11019,14108,2424,6353,9877,12972,12972
48,76895,124308,177650,,,89733,147769,198921,818,4679,7560,10797,,,5460,8986,12085,12085
49,75364,121831,174124,,,75364,133444,184655,802,4584,7408,10579,,,4584,8113,11216,11216
50,73863,119408,170676,,,63421,119408,170676,786,4492,7258,10365,,,3858,7258,10365,10365
51,72392,117030,167296,,,49578,107939,160383,770,4401,7111,10155,,,3015,6561,9741,9741
52,70951,114705,163990,,,36008,94410,146886,754,4312,6968,9949,,,2189,5738,8919,8919
53,69540,112423,,,,,81151,133659,739,4225,6826,,,,,4930,8114,8114
54,68157,110192,,,,,68157,120700,724,4139,6688,,,,,4139,7325,7325
55,66802,108003,,,,,57362,108003,709,4055,6552,,,,,6552,6552,6552
56,65476,105865,,,,,44840,97638,695,3973,6419,,,,,3484,2723,5924
57,64177,,,,,,32567,85404,681,3893,6289,,,,1976,5180,5180,5180
58,62905,,,,,,,73412,667,3813,,,,,,,,4450
60,,,,,,,,51898,641,3659,,,,,,,3145,3145
61,,,,,,,,40573,627,3584,,,,,,2457,2457,2457
