18,130107,203600,296045,382641,574180,642717,705288,761775,1421,7949,12433,18073,23353,35021,39186,42997,46458,46458
19,127822,200010,290814,375871,549823,618340,680934,737459,1396,7808,12212,17751,22936,33530,37694,41502,44966,44966
20,125573,196481,285676,369218,525883,594388,656994,713568,1371,7670,11995,17435,22526,32066,36229,40035,43501,43501
21,123364,193010,280618,362673,502365,570848,633479,690090,1347,7534,11781,17123,22123,30628,34789,38594,42062,42062
22,121190,189598,275650,356240,479265,547729,610363,667026,1323,7400,11571,16817,21726,29215,33375,37178,40647,40647
23,119054,186240,270759,349911,456564,525019,587659,644358,1300,7268,11364,16515,21336,27827,31985,35787,39258,39258
24,116952,182941,265954,343689,434263,502696,565338,622093,1277,7139,11160,16219,20951,26463,30621,34421,37892,37892
25,114887,179694,261224,337569,412359,480773,543416,600206,1254,7012,10960,15927,20574,25124,29280,33079,36550,36550
26,112855,176504,256578,331552,390834,459242,521863,578711,1232,6887,10763,15640,20202,23808,27963,31760,35231,35231
27,110858,173363,252004,325635,369689,438076,500697,557582,1210,6764,10570,15358,19837,22516,26670,30465,33936,33936
28,108893,170279,247510,319817,348924,417290,479888,536830,1188,6642,10379,15080,19477,21246,25399,29193,32663,32663
29,106962,167241,243087,314096,328514,396879,459450,516432,1167,6523,10192,14807,19123,20000,24151,27943,31412,31412
30,105062,164258,238741,308470,308470,376814,439359,496400,1146,6406,10007,14538,18775,18775,22926,26716,30183,30183
31,103195,161320,234464,302940,293719,357112,419633,476708,1126,6291,9826,14274,18433,17878,21722,25512,28976,28976
32,101358,158436,230262,297501,274300,337762,400265,457371,1106,6178,9647,14014,18096,16691,20539,24327,27790,27790
33,99552,155594,226127,292155,255217,318746,381240,438362,1086,6066,9472,13758,17764,15527,19379,23165,26625,26625
34,97777,152805,222065,286898,236479,300075,362545,419696,1066,5956,9299,13506,17438,14382,18238,22024,25482,25482
35,96030,150058,218067,281733,218067,281733,344192,401347,1047,5848,9129,13258,17118,13258,17118,20902,24359,24359
36,94314,147362,214141,276653,206609,268284,326162,383327,1028,5742,8962,13015,16803,12565,16301,19801,23256,23256
37,92626,144706,210277,271664,188738,250512,308450,365617,1010,5638,8797,12775,16493,11475,15217,18720,22174,22174
38,90967,142100,206483,266758,171188,233065,291063,348222,992,5535,8635,12539,16188,10404,14152,17659,21111,21111
39,89335,139533,202751,261941,153947,215920,273979,331131,974,5434,8476,12308,15888,9353,13107,16617,20067,20067
40,87732,137015,199086,257203,137015,199086,257203,314336,956,5335,8320,12079,15593,8320,12079,15593,19043,19043
开始领取年龄 =70 岁 41,86155,134535,195482,252555,130187,188668,244952,297845,939,5237,8166,11856,15303,7915 6909,11452,14851 13861,18036 17048,18036 17048
42,84606,132103,191944,247984,113697,172333,228713,281630,922,5141,8014,11635,15018,5922,10456 9478,12888,,
43,83083,129709,188466,243501,97497,156287,212751,265718,905,5046,7866,11418,14738,,,,16079,16079
44,81587,127361,185052,239094,81587,140530,197086,250105,888,4953,7719,11205,14462,4953,8518,11933,15126,15126
45,80116,125050,181697,234774,70244,125050,181697,234774,872,4862,7575,10996,14192,4268,7575,10996,14192,14192
46,78673,122785,178406,230528,54828,118905,172246,223632,856,4772,7433,10790,13926,3329,7214,10429,13520,13520
47,77253,120556,175173,226371,39683,103831,157315,208780,840,4684,7294,10588,13665,2408,6296,9520,12615,12615
48,75861,118373,172002,222315,,89032,142656,194208,825,4597,7158,10388,13408,,5396,8627,11728,11728
49,74491,116224,168890,218336,,74491,128258,179891,810,4511,7023,10193,13156,,4511,7752,10856,10856
50,73150,114121,165838,214443,,64159,114121,165838,795,4428,6891,10001,12907,,3889,6891,10001,10001
51 71830,,112053,162845,,,50073,108589,157265,780,4345,6761,9812,,,3033,6571,9491,9491
52 70538,,110030,159912,,,36237,94823,143632,766,4264,6634,9626,,,2193,,5734 8661,5734 8661
53 69267,,108040,157037,,,,81301,130244,752,4185,6508,9442,,,,4913,7847,7847
54 68024,,106096,154222,,,,68024,117098,738,4107,6385,9262,,,,4107,7048,7048
55,66801,104186,151465,,,,58609,104186,724,4030,6263,9084,,,,6263,6263,6263
56,65607,102320,,,,,45742,99210,711,3954,6142,,,,,2762,,5982
57,64432,100487,,,,,33102,86635,698,3880,6024,,,,,1996,1996,5219
58,63286,,,,,,,74289,672,3807,5906 5789,,,,,,,4471 3735
59,62159,,,,,,,62159,685,3735,,,,,,,,
60 61,61061,,,,,,,53573 41818,659 647,3664 3594,5672,,,,,3226 2514,3226 2514,3226 2514
62,,,,,,,,,,,,,,,,1815,1815,1815
,,,,,,,,30269,635,3524,,,,,,,,
63,,,,,,,,,623,3455,,,,,,,,
64,,,,,,,,,612,3387,,,,,,,,
