保单 年度.保单 年度,期交.保费,累计.保费,年领 生存金.年领 生存金,满期 生存金.满期 生存金,现金 价值 (退保金).现金 价值 (退保金),身故 保险金.身故 保险金,保单含分红利益演示.当年 红利,保单含分红利益演示.累积 红利,保单含分红利益演示.生存 总利益,保证利益演示.当年 红利,保证利益演示.累积 红利,保证利益演示.生存 总利益
1,50000,50000,0,0,21675,50000,461,461,22136,0,0,21675
2,50000,100000,0,0,48085,100000,1026,1495,49580,0,0,48085
3,50000,150000,0,0,77995,150000,1602,3123,81118,0,0,77995
4,50000,200000,0,0,111630,200000,2187,5365,116995,0,0,111630
5,50000,250000,0,0,147565,250000,2783,8242,155807,0,0,147565
6,50000,300000,0,0,185910,300000,3389,11775,197685,0,0,185910
7,0,300000,0,0,286310,300000,3447,15428,301738,0,0,286310
8,0,300000,0,0,291295,300000,3507,19206,310501,0,0,291295
9,0,300000,0,0,296375,300000,3568,23110,319485,0,0,296375
10,0,300000,0,0,301560,301560,3631,27145,328705,0,0,301560
15,0,300000,0,0,328885,328885,3960,49403,378288,0,0,328885
20,0,300000,21040,0,337645,358685,4318,75471,434156,0,0,358685
25,0,300000,21040,0,259285,280325,3375,101808,487333,0,0,385525
30,0,300000,21040,0,173820,194860,2346,125387,530647,0,0,405260
35,0,300000,21040,0,80610,101650,1224,145491,562741,0,0,417250
39,0,300000,0,21040,21040,21040,253,158524,579324,0,0,420800
