保单 年度.保单 年度,期交 保费.期交 保费,累计 保费.累计 保费,非意外 身故金.非意外 身故金,意外 身故金.意外 身故金,现金价值 （退保金）.现金价值 （退保金）,保单含分红利益演示.当年 红利,保单含分红利益演示.累积 红利,保证利益演示.当年 红利,保证利益演示.累积 红利
1,35500,35500,1000000,2000000,1800,33,33,0,0
2,35500,71000,1000000,2000000,4700,434,467,0,0
3,35500,106500,1000000,2000000,8500,849,1324,0,0
4,35500,142000,1000000,2000000,25000,1269,2617,0,0
5,35500,177500,1000000,2000000,42500,1696,4358,0,0
6,35500,213000,1000000,2000000,60900,2128,6563,0,0
7,35500,248500,1000000,2000000,80300,2566,9244,0,0
8,35500,284000,1000000,2000000,100800,3010,12416,0,0
9,35500,319500,1000000,2000000,122300,3461,16094,0,0
10,35500,355000,1000000,2000000,144900,3917,20293,0,0
20,35500,710000,1000000,2000000,444800,8900,94669,0,0
30,0,710000,1000000,2000000,773200,10032,215633,0,0
40,0,710000,1000000,2000000,847900,10863,370359,0,0
50,0,710000,1000000,1000000,912500,11503,561942,0,0
60,0,710000,1000000,1000000,956500,11895,795429,0,0
65,0,710000,1000000,1000000,991400,12054,929541,0,0
