交费期间.投保年龄,男性.趸交,3 年交,5 年交,女性.趸交,3 年交,5 年交
0,4.3,8.8,17.5,4.3,8.9,17.7
1,4.3,8.8,17.6,4.4,8.9,17.8
2,4.3,8.8,17.7,4.4,8.9,17.8
3,4.3,8.9,17.7,4.4,9.0,17.9
4,4.3,8.9,17.7,4.4,9.0,17.9
5,4.3,8.9,17.7,4.4,9.0,17.9
6,4.3,8.9,17.7,4.4,9.0,17.9
7,4.3,8.9,17.7,4.4,9.0,17.9
8 9,4.3,8.9,17.7 17.7,4.4 4.4,9.0 9.0,17.9 17.9
10,4.3 4.3,8.9,17.7,4.4,9.0,17.9
,,8.9,,,,
11,4.3,8.8,17.6,4.4,9.0,17.9
12,4.3,8.8,17.6,4.4,9.0,17.9
13,4.3,8.8,17.6,4.4,9.0,17.8
14,4.3,8.8,17.6,4.4,8.9,17.8
15,4.3,8.8,17.5,4.4,8.9,17.8
16,4.3,8.8,17.5,4.4,8.9,17.8
17,4.3,8.8,17.5,4.4,8.9,17.8
18,4.3,8.8,17.5,4.4,8.9,17.8
19,4.3 4.3,8.8 8.7,17.5,4.4 4.4,8.9,17.8 17.8
20,,,17.5,,8.9,
21,4.3 4.3,8.7,17.4,4.3,8.9,17.8 17.8
22,,8.7,17.4,4.3,8.9,17.7
23,4.3,8.7,17.4,4.3,8.9,
24,4.3,8.7,17.4,4.3,8.9,17.7
25,4.3,8.7,17.3,4.3,8.9,17.7
26,4.3 4.3,8.7,17.3,4.3,8.9,17.7 17.7
27 28,4.3,8.7,17.3 17.2,4.3 4.3,8.9 8.9,17.7
29,4.3,8.6 8.6,17.2,4.3,8.9,17.7
30,4.3,8.6,17.1,4.3,8.9,17.6
31,4.3,8.6,17.1,4.3,8.8,17.6
32,4.3,8.5,17.0,4.3,8.8,17.6
33,4.3,8.5,17.0,4.3,8.8,17.6
34,4.3,8.5,16.9,4.3,8.8,17.5 17.5
35,4.2,8.5,16.8,4.3,8.8,
36,4.2,8.4,16.8,4.3,8.8,17.5
37,4.2,8.4,16.7,4.3,8.8,17.4
38,4.2,8.3,16.6,4.3,8.7,17.4
39,4.2,8.3,16.5,4.3,8.7,17.3
40,4.2,8.2,16.4,4.3 4.3,8.7,17.3
41 42,4.2 4.2,8.2 8.1,16.3 16.1,4.3,8.7 8.6,17.2 17.2
43,4.2,8.1,16.0,4.3,8.6,17.1
44,4.2,8.0,15.9,4.3,8.6,17.0
45 46,4.1,7.9,15.7,4.3,8.5 8.5,17.0 16.9
,4.1,7.8,15.5,4.3,,
47 48,4.1 4.1,7.8,15.3 15.1,4.3 4.2,8.4 8.4,16.8 16.7
49,4.1,7.7 7.6,14.9,4.2,8.4,16.6
50,4.0,7.5,14.7,4.2,8.3,16.5
51,4.0,7.3,14.5,4.2,8.2,16.4
52,4.0,7.2,14.2,4.2,8.2,16.2
53,4.0,7.1,13.9,4.2,8.1,16.1
54,3.9,7.0,13.6,4.2,8.0,15.9
55,3.9,,13.3,4.2,8.0,
56,3.9,6.8,13.0,4.1,7.9,15.8
57,3.9,6.6 6.5,12.6,4.1,7.8,15.6 15.4
58,3.8,6.3,12.2,4.1,,
59 60,3.8,6.1,11.8,4.1,7.7 7.6,15.2 14.9
,3.7,5.9,11.3,4.1,7.5,14.6
61,3.7,5.7,10.8,4.0,7.3,14.3
62,3.7,,10.3,4.0,7.1,13.9
63,,5.4,,4.0,,
,3.6,5.2,9.7,,6.9,13.5
64,3.6,4.9,9.1,3.9,6.7,13.0
65,3.5,,,,,
66,3.4,4.5,,3.9,6.5,12.4
,,4.2,8.3,3.8,6.2,
67,3.4,,,3.8,5.8 5.4,
68,3.3,,,3.7,,
,3.1,,,,,
69,,,,3.6,4.9,
,3.0,,,,,
70,,,,3.5,4.4,
