18,130085,210303,300554,384920,561527,623273,678688,1392,7964,12873,18392,23549,34331,38108,41502,
19,127501,206124,294574,377255,537447,599220,654662,1364,7805,12615,18024,23077,32855,36632,40028,
20,124968,202025,288711,369740,513849,575639,631108,1337,7649,12363,17663,22614,31409,35185,38583,
21,122483,198007,282960,362370,490710,552527,608023,1310,7496,12116,17309,22161,29992,33767,37166,
22,120048,194065,277323,355145,468035,529869,585393,1284,7346,11873,16962,21715,28604,32377,35778,
23,117659,190202,271793,348058,445815,507662,563213,1259,7199,11636,16621,21279,27242,31014,34417,
24,115317,186411,266373,341112,424040,485891,541471,1233,7055,11402,16287,20850,25909,29679,33083,
25,113020,182696,261055,334298,402691,464553,520160,1209,6914,11173,15960,20430,24602,28371,31776,
26,110768,179052,255843,327620,381770,443635,499271,1184,6775,10949,15638,20018,23320,27089,30494,
27,108559,175479,250730,321068,361270,423133,478796,1161,6639,10729,15323,19614,22065,25833,29238,
28,106393,171975,245719,314649,341172,403035,458727,1137,6505,10513,15014,19218,20835,24602,28007,
29,104269,168540,240802,308349,321477,383337,439056,1115,6374,10301,14711,18829,19629,23395,26800,
30,102187,165170,235985,302180,302180,364028,419775,1092,6246,10093,14413,18448,18448,22213,25617,
31,100144,161867,231257,296124,285379,345101,400877,1070,6120,9889,14122,18074,17421,21055,24458,
32,98142,158628,226627,290195,266798,326551,382352,1049,5997,9689,13835,17707,16284,19919,23322,
33,96178,155452,222082,284375,248593,308365,364198,1028,5875,9493,13555,17348,15170,18807,22208,
34,94254,152338,217632,278678,230750,290545,346401,1007,5757,9301,13280,16995,14079,17717,21117,
35,92365,149284,213263,273087,213263,273087,328963,987,5640,9113,13010,16649,13010,16649,20047,
36,90515,146291,208987,267615,200391,257906,311866,967,5526,8927,12745,16310,12226,15722,19000,
开始领取年龄 37,88699,143356,204789,262262,183517,241109,295113,947,5414,8746,12485,15978,11194,14695,17975,
=63 岁 38,86921,140480,200681,257013,166982,224642,278697,928,5304,8568,12231,15652,10183,13689,16969,
39,85176,137660,196649,251873,150775,208510,262603,909,5196,8394,11981,15333,9193,12703,15984,
40,83467,134897,192704,246833,134897,192704,246833,891,5090,8223,11737,15020,8223,11737,15020,
41,81790,132187,188834,241897,121945,181089,233119,873,4986,8055,11497,14713,7434,11031,14184,
42,80149,129535,185046,237066,106646,165833,217931,855,4885,7890,11262,14412,6500,10099,13255,
43,78539,126932,181333,232328,91653,150886,203038,837,4785,7729,11031,14117,5584 9186,,12347,
44,76962,124386,177699,,76962,136242,188452,820,4687,7571,10806,,4687,8292,11456,
45,75416,121889,174150,,64777,121889,174150,804,4591,7416,10584,,3946,7416,10584,
46,73903,119446,170684,,50625,110195,163677,787,4498,7265,10368,,3083,6705,9949,
47,72420,117050,167285,,36757,96369,149882,771,4405,7116,10155,,2237,5862,9108,
48,70968,114709,163965,,,82822,136369,755,4315,6970,9947,,,5036,8284,
49,69545,112412,,,,69545,123134,740,4227,6827,,,,4227,7477,
50,68153,110170,,,,58541,110170,725,4140,6687,,,,3559,6687,
51,66791,107970,,,,45754,99609,710,4055,6550,,,,2780,6047,
52,65457,105823,,,,33221,87115,695,3972,6416,,,,2017,5286,
53,64153,,,,,,74873,681,3891,6284,,,,,4541,
54,62877,,,,,,62877,667,3811,,,,,,3811,
55,61630,,,,,,52935,654,3733,,,,,,3209,3209
56,,,,,,,41376,640,3656,,,,,,2507,
57,,,,,,,30048,627,3581,,,,,,1818,
