交费期间 投保年龄,6年交,10年交,15年交,20年交,交至55周岁,交至60周岁,交至65周岁
0,355,228,156,121,57,55,53
1,362,233,159,124,59,56,54
2,369,238,163,126,61,58,56
3,377,242,166,129,63,60,57
4,384,247,169,131,65,62,59
5,392,252,173,134,67,63,60
6,400,257,176,137,69,65,62
7,408,262,179,140,72,67,64
8,416,268,183,142,74,70,66
9,424,273,187,145,77,72,68
10,433,278,191,148,79,74,70
11,442,284,194,151,82,77,72
12,450,290,198,154,85,79,75
13,459,296,202,157,88,82,77
14,469,301,206,160,91,85,79
15,478,308,210,164,95,88,82
16,488,314,215,167,98,91,85
17,497,320,219,170,102,94,87
18,507,326,223,174,106,97,90
19,518,333,228,177,110,101,93
20,528,340,232,181,115,105,97
21,539,346,237,184,120,109,100
22,549,353,242,188,125,113,104
23,560,361,247,192,130,117,107
24,572,368,252,196,136,122,111
25,583,375,257,200,143,127,116
26,595,383,262,204,149,132,120
27,607,391,267,208,157,138,125
28,619,398,273,212,165,144,130
