年龄.年龄.年龄,昂贵医院100%赔付，1万元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院100%赔付，1万元免赔额.无基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球
0,"4,807","5,119","6,953","4,905","5,273","7,124"
1,"4,493","4,784","6,499","4,583","4,928","6,659"
2,"4,279","4,556","6,189","4,366","4,692","6,342"
3,"4,133","4,402","5,979","4,217","4,534","6,126"
4,"3,988","4,248","5,768","4,069","4,375","5,910"
5,"3,844","4,094","5,558","3,921","4,217","5,694"
6,"3,699","3,938","5,350","3,774","4,056","5,481"
7,"3,555","3,784","5,139","3,626","3,898","5,266"
8,"3,408","3,630","4,929","3,479","3,739","5,050"
9,"3,316","3,530","4,794","3,385","3,636","4,912"
10,"3,223","3,433","4,660","3,289","3,536","4,774"
11,"3,131","3,333","4,525","3,194","3,433","4,637"
12,"3,036","3,235","4,391","3,098","3,332","4,499"
13,"2,944","3,135","4,256","3,004","3,229","4,361"
14,"2,986","3,179","4,317","3,048","3,274","4,423"
15,"3,027","3,223","4,378","3,090","3,319","4,486"
16,"3,069","3,269","4,437","3,131","3,367","4,546"
17,"3,081","3,312","4,497","3,144","3,412","4,608"
18,"3,094","3,356","4,558","3,156","3,457","4,670"
19,"3,106","3,468","4,708","3,167","3,572","4,824"
20,"3,113","3,578","4,860","3,175","3,686","4,980"
21,"3,175","3,691","5,010","3,238","3,801","5,133"
22,"3,206","3,801","5,162","3,271","3,915","5,289"
23,"3,300","3,913","5,312","3,366","4,030","5,442"
24,"3,460","4,102","5,568","3,530","4,225","5,705"
25,"3,618","4,291","5,827","3,693","4,420","5,970"
26,"3,780","4,481","6,083","3,855","4,615","6,232"
27,"3,938","4,670","6,342","4,017","4,810","6,498"
28,"4,098","4,859","6,598","4,181","5,005","6,760"
29,"4,250","5,038","6,841","4,335","5,189","7,010"
30,"4,402","5,217","7,085","4,487","5,373","7,259"
31,"4,549","5,396","7,326","4,643","5,557","7,506"
32,"4,701","5,574","7,569","4,797","5,742","7,755"
33,"4,853","5,753","7,813","4,948","5,926","8,005"
34,"4,924","5,838","7,927","5,021","6,014","8,122"
35,"4,996","5,922","8,041","5,094","6,099","8,239"
36,"5,067","6,007","8,158","5,169","6,187","8,358"
