18,119472,187142,272245,352055,528753,592121,650007,702708,1272,7124,11156,16228,20982,31503,35271,38724,41869,41869
19,117401,183894,267516,345936,506442,569807,627708,680428,1250,7000,10962,15945,20616,30171,33940,37391,40538,40538
20,115365,180701,262868,339923,484516,547877,605794,658532,1228,6878,10771,15666,20255,28863,32631,36082,39230,39230
21,113364,177562,258299,334010,462972,526326,584259,637015,1207,6758,10583,15393,19901,27578,31345,34796,37945,37945
22,111397,174477,253808,328200,441802,505147,563094,615871,1186,6641,10398,15124,19553,26315,30081,33531,36682,36682
23,109464,171444,249393,322486,420996,484332,542297,595091,1165,6525,10217,14859,19211,25073,28840,32289,35441,35441
24,107563,168462,245053,316873,400553,463881,521857,574673,1145,6411,10038,14599,18874,23854,27620,31068,34221,34221
25,105695,165532,240786,311350,380464,443788,501773,554605,1125,6299,9862,14343,18543,22656,26421,29869,33022,33022
26,103858,162650,236593,305925,360722,424040,482032,534887,1105,6189,9690,14092,18218,21478,25243,28690,31844,31844
27,102053,159818,232469,300589,341324,404635,462635,515507,1086,6081,9520,13845,17898,20321,24085,27532,30687,30687
28,100278,157034,228417,295347,322262,385569,443571,496465,1067,5975,9353,13602,17583,19184,22948,26394,29549,29549
29,98534,154296,224431,290191,303530,366832,424838,477750,1049,5870,9189,13363,17274,18067,21831,25276,28431,28431
30,96818,151605,220516,285125,285125,348420,406426,459362,1030,5768,9027,13128,16970,16970,20733,24177,27333,27333
31,95133,148960,216663,280143,271452,330330,388335,441289,1012,5667,8869,12897,16670,16156,19654,23098,26253,26253
32,93475,146360,212880,275248,253606,312553,370554,423531,995,5567,8713,12669,16377,15092,18594,22038,25192,25192
33,91847,143803,209157,270435,236068,295084,353082,406079,977,5469,8559,12446,16087,14047,17552,20996,24150,24150
34,90245,141290,205501,265705,218839,277922,335911,388931,960,5373,8408,12226,15803,13019,16529,19972,23125,23125
35,88671,138819,201905,261056,201905,261056,319036,372078,943,5279,8260,12010,15523,12010,15523,18966,22119,22119
36,87123,136392,198373,256487,191177,248546,302454,355519,927,5186,8114,11798,15249,11374,14780,17978,21129,21129
37,85602,134004,194898,251997,174729,232195,286166,339244,910,5095,7971,11589,14978,10393,13805,17007,20157,20157
38,84107,131659,191486,247585,158570,216132,270165,323255,894,5005,7830,11384,14713,9431,12848,16053,19203,19203
开始领取年龄 岁 39,82638,129352,188131,243250,142689,200344,254439,307540,879,4917,7691,11182,14452,8484,11907,15116,18265,18265
=66 40,81193,127088,184835,238989,127088,184835,238989,292099,863,4830,7555,10983,14195,7555,10983,14195,17344,17344
41,79774,124859,181596,234806,120499,175030,227548,276925,848,4745,7421,10788,13943,7167,10403,13516,16439,16439
42,78379,122672,178414,230693,105291,159967,212574,262013,833,4661,7289,10596,13695,6262,9505,12624,15550,15550
43,77008,120521,175286,226656,90345,145165,197858,247363,819,4578,7159,10408,13451,5372 8624,,11747,14676,14676
44,75661,118409,172215,222701,75661,130622,183402,232964,804,4497,7032,10222,13211,4497,7758,10886,13818,13818
45,74338,116332,169197,218814,65059,116332,169197,218814,790,4418,6907,10040,12975,3869,6907,10040,12975,12975
46,73037,114294,166233,215000,50819,110333,160242,208357,776,4339,6784,9861,12743,3021,6556,9511,12355,12355
47,71759,112290,163323,,36826,96403,146447,194638,762,4262,6663,9684,,2188,5727,8690,11539,11539
48,70505,110323,160463,,,82719,132893,181152,749,4187,6544,9511,,,4912,7883,10736,10736
49,69271,108390,157658,,,69271,119577,167908,736,4112,6426,9340,,,4112,7090,9947,9947
50,68061,106492,154901,,,59573,106492,154901,723,4039,6311,9172,,,3538,6311,9172,9172
51,66870,104629,152198,,,46532,101028,146725,710,3967,6198,9007,,,2763,5994,8692,8692
52,65703,102799,,,,33718,88274,134093,697,3896,6086,,,,2001,5236,7940,7940
53,64555,101004,,,,,75743,121685,685,3827,5976,,,,,4491,7201,7201
54,63431,,,,,,,,673,3758,5868,,,,,3758,6475,6475
55,62324,,,,,,,,661,3691,5761,,,,,3235,3235,5761
56,61241,,,,,,,,649,3625,5656,,,,,,2526,5479
57,,,,,,,,,637,,,,,,,1828 4784 4102,1828 4784 4102,1828 4784 4102
58,60176,,,,,,,,626,3560 3495,,,,,,,,
59,,,,,,,,,615,3432,,,,,,,,3432
60,,,,,,,,,604,3369,,,,,,,2957,2957
