年龄.年龄.年龄,昂贵医院0%赔付，0元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院0%赔付，0元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，0元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院0%赔付，0元免赔额.无基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院0%赔付，0元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院0%赔付，0元免赔额.无基本医疗保险或公费医疗.全球
0,"9,219","10,599","15,205","9,402","10,917","15,661"
1,"8,615","9,906","14,211","8,787","10,203","14,637"
2,"8,204","9,433","13,535","8,369","9,716","13,941"
3,"7,915","9,101","13,058","8,073","9,374","13,450"
4,"7,625","8,769","12,581","7,777","9,032","12,959"
5,"7,336","8,434","12,102","7,481","8,687","12,465"
6,"7,044","8,102","11,625","7,187","8,345","11,974"
7,"6,755","7,768","11,146","6,891","8,001","11,481"
8,"6,466","7,435","10,669","6,595","7,658","10,990"
9,"6,283","7,223","10,367","6,407","7,440","10,678"
10,"6,097","7,013","10,062","6,220","7,223","10,363"
11,"5,914","6,800","9,759","6,032","7,004","10,051"
12,"5,729","6,590","9,454","5,844","6,788","9,737"
13,"5,546","6,378","9,151","5,657","6,569","9,425"
14,"5,605","6,443","9,246","5,716","6,637","9,523"
15,"5,661","6,511","9,341","5,774","6,706","9,621"
16,"5,720","6,577","9,438","5,835","6,774","9,721"
17,"5,777","6,644","9,533","5,894","6,844","9,819"
18,"5,835","6,710","9,628","5,953","6,911","9,916"
19,"5,946","6,837","9,811","6,066","7,042","10,105"
20,"6,057","6,965","9,994","6,179","7,174","10,294"
21,"6,168","7,092","10,177","6,292","7,305","10,482"
22,"6,278","7,221","10,360","6,405","7,437","10,671"
23,"6,389","7,347","10,543","6,518","7,568","10,859"
24,"6,642","7,639","10,961","6,775","7,868","11,290"
25,"6,895","7,930","11,379","7,035","8,168","11,720"
26,"7,151","8,222","11,797","7,293","8,469","12,151"
27,"7,404","8,513","12,215","7,553","8,769","12,582"
28,"7,657","8,805","12,633","7,811","9,069","13,012"
29,"7,937","9,128","13,097","8,095","9,402","13,490"
30,"8,217","9,449","13,558","8,382","9,733","13,964"
31,"8,498","9,772","14,021","8,667","10,065","14,442"
32,"8,778","10,093","14,482","8,954","10,396","14,917"
33,"9,058","10,416","14,945","9,239","10,729","15,394"
34,"9,210","10,590","15,196","9,393","10,908","15,652"
35,"9,361","10,764","15,445","9,549","11,087","15,908"
