18,134578,217611,311110,398550,581696,645946,703875,755996,1430,8187,13238,18923,24239,35366,39270,42796,45965
19,131923,213318,304967,390677,556823,621081,679021,731160,1402,8026,12976,18549,23759,33852,37755,41282,44452
20,129320,209107,298945,382959,532442,596703,654659,706814,1374,7867,12719,18181,23288,32368,36271,39798,42970
21,126768,204979,293039,375390,508540,572806,630774,682948,1347,7711,12468,17821,22826,30914,34816,38344,41516
22,124266,200932,287250,367970,485109,549379,607361,659552,1321,7559,12221,17468,22373,29488,33389,36917,40091
23,121812,196963,281572,360693,462142,526413,584407,636617,1294,7409,11979,17121,21929,28090,31991,35519,38694
24,119407,193071,276006,353560,439628,503898,561908,614134,1269,7262,11741,16781,21493,26720,30620,34149,37324
25,117047,189256,270546,346563,417557,481828,539849,592095,1244,7118,11508,16448,21066,25377,29277,32805,35982
26,114735,185515,265195,339705,395923,460190,518227,570490,1219,6977,11280,16121,20647,24060,27960,31488,34666
27,112467,181846,259946,332978,374718,438980,497029,549312,1195,6839,11056,15801,20236,22770,26669,30197,33376
28,110244,178249,254801,326385,353928,418185,476250,528549,1171,6703,10836,15487,19833,21505,25404,28931,32112
29,108063,174721,249754,319917,333552,397802,455878,508199,1148,6570,10621,15178,19438,20266,24163,27690,30872
30,105925,171263,244807,313579,313579,377818,435910,488247,1125,6439,10410,14876,19051,19051,22948,26474,29657
31,103828,167871,239954,307361,296159,358230,416334,468691,1103,6311,10203,14580,18671,17992,21757,25282,28466
32,101773,164546,235199,301268,276924,339032,397145,449519,1081,6186,9999,14289,18298,16822,20589,24113,27298
33,99756,161285,230533,295291,258072,320216,378333,430727,1060,6063,9800,14004,17933,15675,19444,22968,26154
34,97780,158088,225962,289435,239591,301770,359894,412304,1038,5942,9605,13724,17574,14552,18322,21846,25032
35,95842,154953,221477,283690,221477,283690,341815,394247,1018,5823,9413,13450,17223,13450,17223,20746,23932
36,93942,151880,217082,278061,208073,267930,324096,376545,998,5707,9225,13181,16879,12637,16265,19668,22854
37,92078,148866,212771,272541,190585,250524,306725,359194,978,5593,9041,12917,16540,11573,15207,18611,21797
开始领取年龄 38,90252,145912,208547,267132,173445,233460,289697,342187,958,5482,8860,12659,16209,10531,14170,17575,20762
=65 岁 39,88460,143014,204404,261837,156643,216737,273007,325515,939,5372,8683,12405,15884,9510,13153,16560,19746
40,86705,140175,200345,256644,140175,200345,256644,309175,920,5265,8509,12157,15566,8509,12157,15566,18751
41,84983,137391,196365,251557,126699,188230,242389,293158,902,5159,8339,11913,15253,7691,11422,14700,17776
42,83295,134662,192465,246569,110826,172404,226631,277457,884,5056,8172,11674,14947,6727,10461,13743,16820
43,81640,131986,188641,241681,95268,156895,211187,262070,866,4955,8008,11439,14647,5782 9518,,12805,15882
44,80019,129365,184894,236894,80019,141695,196052,246986,849,4855,7847,11210,14353,4855,8595,11885,14964
45,78429,126794,181222,232201,67333,126794,181222,232201,832,4758,7690,10984,14065,4086,7690,10984,14065
46,76871,124276,177625,,52639,114609,170272,219314,815,4662,7535,10764,,3194,6951,10321,13283
47,75343,121807,174105,,38236,100249,155957,205064,799,4569,7384,10547,,2319,6079,9452,12417
48,73846,119389,170663,,,86175,141926,191096,783,4477,7235,10335,,,5224,8600,11568
49,72379,117018,167288,,,72379,128173,177405,767,4387,7090,10127,,,4387,7765,10737
50,70942,114697,163986,,,60909,114697,163986,752,4299,6947,9922,,,3692,6947,9922
51,69534,112421,,,,47616,103680,154095,737,4212,6807,,,,2886,6280,9325
52,68154,110194,,,,34587,90689,141138,722,4127,6670,,,,2095,5492,8539
53,66803,108010,,,,,77957,128439,707,4044,6536,,,,,4720,7769
54,65479,105875,,,,,65479,115990,693,3963,6404,,,,,3963,7014
55,64183,,,,,,55106,,679,3883,6274,,,,,3336,6274
56,62913,,,,,,43081,,665,3804,,,,,,2607,5673
57,61670,,,,,,31294,,652,3727,,,,,,1892,4960
58,,,,,,,,,639,3652,,,,,,,4262
59,,,,,,,,,626,3578,,,,,,,3578
