投保年龄 开始领取年龄,,一次性领取.6 年交,一次性领取.10 年交 15 年交,一次性领取.20 年交,一次性领取.交至 50,一次性领取.岁 交至 55 岁,一次性领取.交至 60 岁,领取期间 =20 年.趸交,领取期间 =20 年.6 年交,领取期间 =20 年.10 年交,领取期间 =20 年.15 年交,领取期间 =20 年.20 年交,领取期间 =20 年.交至 50 岁,领取期间 =20 年.交至 55 岁,领取期间 =20 年.交至 60 岁,领取期间 =20 年.,领取期间 =20 年.
18,107787,168756,245448,317343,476548,533468,585189,1148,6423,10053,14618,18895,28357,31745,34832,,
19,105907,165807,241154,311787,456389,513333,565081,1127,6311,9876,14360,18561,27154,30541,33630,,
20,104059,162908,236935,306329,436582,493548,545321,1108,6200,9702,14107,18233,25973,29358,32449,,
21,102243,160058,232786,300960,417124,474104,525906,1088,6091,9531,13858,17911,24812,28197,31289,,
22,100457,157257,228709,295686,398008,454999,506826,1069,5984,9362,13613,17594,23672,27056,30149,,
23,98702,154503,224699,290499,379221,436223,488081,1050,5879,9197,13372,17282,22551,25934,29028,,
24,96976,151796,220760,285403,360763,417774,469657,1032,5775,9034,13135,16975,21451,24833,27927,,
25,95281,149134,216884,280391,342631,399644,451557,1014,5673,8874,12902,16674,20369,23751,26845,,
26,93613,146518,213078,275467,324810,381828,433768,996,5573,8717,12673,16378,19307,22687,25782,,
27,91975,143946,209333,270626,307302,364322,416292,979,5475,8563,12448,16086,18263,21643,24738,,
28,90363,141419,205656,265869,290105,347117,399115,961,5378,8410,12226,15799,17237,20617,23711,,
29,88780,138932,202038,261193,273201,330214,382241,944,5283,8261,12008,15517,16230,19609,22703,,
30,87223,136491,198485,256597,256597,313599,365657,928,5189,8114,11794,15241,15241,18619,21712,,
31,85693,134088,194990,252082,244317,297276,349364,911,5097,7969,11584,14968,14512,17646,20738,,
32,84189,131730,191557,247644,228224,281232,333352,895,5006,7827,11377,14700,13553,16690,19781,,
33,82711,129409,188182,243286,212408,265475,317620,879,4918,7687,11173,14437,12611,15752,18842,,
34,81258,127131,184868,239001,196874,250000,302162,864,4830,7550,10973,14179,11685,14830,17919,,
35,79830,124889,181609,234796,181609,234796,286971,849,4744,7415,10776,13924,10776,13924,17013,,
开始领取年龄 岁 36,78427,122689,178409,230661,172011,223575,272048,833,4659,7282,10583,13674,10209,13259,16122,,
=60 37,77048,120525,175265,226605,157188,208835,257381,819,4576,7151,10393,13428,9327,12382,15248,,
38,75694,118401,172177,222633,142626,194360,242971,804,4495,7023,10206,13187,8460,11520,14389,,
39,74362,116312,169144,218731,128319,180137,228814,790,4414,6896,10022,12950,7609,10673,13545,,
40,73055,114263,166165,214903,114263,166165,214903,776,4335,6772,9842,12716,6772,9842,12716,,
41,71770,112248,163241,,108433,157407,204655,762,4258,6650,9664,,6434,9326,12111,,
42,70509,110272,160370,,94735,143841,191160,748,4181,6531,9490,,5619,8519,11308,,
43,69269,108330,157554,,81275,130513,177904,735,4107,6413,9319,,4819,7727,10519,,
44,68053,106425,154789,,68053,117419,164874,722,4033,6297,9150,,4033,6948,9745,,
45,66857,104555,152079,,58545,104555,152079,709,3961,6183,8984,,3472,6183,8984,,
46,65686,102720,,,45723,99255,144098,696,3889,6071,,,2710,5878,8517,,
47,64534,100920,,,33124,86716,131675,684,3819,5961,,,1962,5133,7778,,
48,63406,,,,,,,672,3751,5853,,,,4402,7053,,
49,62297,,,,,,,660,3683,5746,,,,3683,6341,,
50,61212,,,,,,,648,3617,5641,,,,3172,5641,,
51,60145,,,,,,,636,3552,,,,,2476,5369,,
52,,,,,,,,625,3487,,,,,1792,4688,,
53,,,,,,,,614,3424,,,,,,4019,4019,4019
54,,,,,,,,603,3362,,,,,,3362,,
