18,147934,239134,341695,437533,637973,708204,771226,827480,1609,9202,14873,21246,27198,39631,43980,47906,51405,51405
19,144987,234365,334871,428785,610572,680798,743857,800152,1577,9018,14575,20819,26651,37925,42273,46198,49700,49700
20,142095,229687,328174,420199,583716,653944,717030,773363,1545,8837,14282,20400,26114,36253,40600,44525,48030,48030
21,139261,225100,321611,411784,557401,627611,690735,747111,1514,8660,13995,19989,25587,34615,38960,42885,46392,46392
22,136479,220600,315169,403526,531607,601809,664960,721374,1484,8486,13714,19586,25070,33009,37353,41278,44787,44787
23,133753,216189,308856,395432,506324,576507,639697,696154,1454,8315,13438,19191,24563,31436,35778,39702,43214,43214
24,131078,211860,302660,387490,481551,551715,614933,671428,1425,8148,13167,18803,24065,29894,34235,38158,41672,41672
25,128456,207617,296587,379704,457272,527404,590661,647200,1396,7984,12901,18423,23577,28383,32722,36643,40161,40161
26,125883,203454,290627,372065,433473,503587,566869,623447,1368,7823,12641,18050,23099,26903,31240,35160,38680,38680
27,123361,199373,284786,364576,410155,480251,543552,600172,1341,7665,12385,17683,22629,25452,29788,33705,37229,37229
28,120886,195367,279053,357229,387305,457386,520694,577355,1314,7510,12134,17324,22168,24030,28365,32280,35806,35806
29,118460,191442,273433,350026,364906,434969,498293,554996,1287,7358,11888,16972,21716,22637,26971,30885,34411,34411
30,116079,187589,267920,342962,342962,413007,476335,533079,1261,7209,11647,16626,21273,21273,25605,29517,33045,33045
31,113745,183813,262514,336034,323881,391492,454815,511602,1236,7063,11410,16287,20838,20087,24267,28177,31706,31706
32,111455,180106,257212,329241,302759,370397,433722,490548,1210,6919,11178,15954,20411,18774,22955,26864,30393,30393
33,109210,176475,252012,322579,282062,349733,413048,469920,1186,6778,10950,15627,19992,17488,21671,25578,29107,29107
34,107007,172910,246914,316050,261787,329490,392788,449697,1162,6640,10726,15307,19582,16228,20412,24318,27846,27846
35,104847,169417,241913,309644,241913,309644,372928,429884,1138,6505,10507,14993,19179,14993,19179,23083,26611,26611
36,102729,165988,237012,303370,227328,292411,353470,410461,1115,6372,10292,14685,18784,14090,18110,21874,25400,25400
37 38,100652 98615,162629 159332,232203 227493,297213 291185,208155 189373,273325 254621,334392 315705,391433 372777,1092 1070,6241 6113,10080 9873,14382 14086,18397 18017,12900 11733,16924 15762,20689 19529,24214,23052
39,96617,156103,222870,285269,170967,236294,297404,354501,1048,5988,9670,13795,17644,10590,14625,18392,21912,21912
开始领取年龄 40,94659,152934,218345,279481,152934,218345,279481,336586,1027,5865,9471,13510,17279,9471,13510 12698,17279,20796,20796
=69 岁,92738,149829,213902,273798,138257,205199,263927,319033,1006,5744,9275,13230,16921,8563,,16315,19704,19704
41 42,90856,146784,209556,268243,120891,187883,246677,301834,985,5625,9084,12955,16569,7485,11623,15245,18635,18635
43,89009,143800,205287,262818,103872,170913,229784,284977,965,5509,8895,12687,16225,6429,10571,14196,17587,17587
44,87201,140875,201115,257492,87201,154294,213233,268465,945,5395,8711,12423,15887,5395,9540,13170,16561,16561
45,85426,138008,197018,252283,73403,138008,197018,252283,925,5284,8530,12164,15557,4543,8530,12164,15557,15557
46,83690,135200,193013,247177,57350,124777,185185,238256,906,5174,8353,11911,15233,3547,7713,11436,14689,14689
47,81984,132447,189083,242177,41621,109094,169549,222668,887,5066,8179,11662,14915,2573,6741,10466,13724,13724
48,80317,129754,185243,237290,,93733,154233,207405,869,4961,8009,11419,14604,,5790,9517,12779,12779
49,78681,127112,181476,232499,,78681,139225,192442,851,4858,7842,11180,14300,,4858,8588,11853,11853
50 77081,,124529,177796,,,66242,124529,177796,833,4756,7678,10946,,,4091,7678,10946,10946
51,75511,121995,174208,,,51753,112602,167151,816,4657,7518,10718,,,3194,6944,10293,10293
52,73976,119522,170712,,,37554,98449,153031,799,4560,7360,10493,,,2316,6068,9420,9420
53,72472,117094,167284,,,,84583,139207,782,4465,7207,10273,,,,5211,8565,8565
54 71002,,114726,163942,,,,71002,125669,766,4371,7056,10059,,,,4371,7728,7728
55,69562,112402,,,,,59787,112402,750,4280,6908,,,,,3682,6908,6908
56 68153,,110138,,,,,46709,101653,734,4190,6763,,,,,2874,2874,2874
57,66776,107917,,,,,33895,88883,719,4102,6621,,,,,2084,,6249 5460
58,65430,105755,,,,,,76371,704,4016,6483,,,,,4688,4688,4688
59 60,64115 62829,,,,,,,64115 53995,689,3932 3849,6346,,,,,,,3932 3313
61,61575,,,,,,,42193,675 661,3768,,,,,,,,2586
62,,,,,,,,30627,647,3689,,,,,,,1874,1874
63,,,,,,,,,633,3610,,,,,,,,
