18,119098,192589,275358,352774,514973,571814,1257,7196,11635,16634,21309,31098,34533
19,116751,188794,269930,345819,492972,549822,1232,7054,11406,16305,20887,29768,33203
20,114451,185074,264609,339001,471405,528263,1208,6915,11180,15983,20474,28464,31899
21,112196,181426,259392,332315,450260,507128,1184,6778,10960,15667,20069,27186,30621
22,109985,177851,254278,325761,429533,486408,1161,6644,10743,15357,19672,25933,29368
23,107817,174344,249262,319334,409212,466096,1138,6513,10531,15053,19283,24705,28140
24,105692,170907,244346,313035,389291,446184,1115,6384,10322,14756,18901,23501,26935
25,103608,167536,239524,306857,369761,426664,1093,6258,10118,14463,18526,22320,25755
26,101565,164232,234798,300801,350616,407527,1072,6134,9918,14177,18159,21164,24598
27,99562,160991,230164,294863,331847,388767,1051,6013,9722,13896,17799,20030,23463
28,97598,157815,225621,289042,313450,370376,1030,5894,9529,13621,17446,18918,22351
29,95672,154700,221165,283334,295417,352346,1009,5777,9340,13350,17100,17829,21261
30,93784,151646,216798,277740,277740,334672,989,5663,9155,13086,16761,16761,20193
31,91933,148652,212515,272254,262316,317345,970,5550,8974,12826,16428,15829,19146
32,90118,145717,208318,266877,245292,300361,951,5440,8796,12571,16102,14801,18119
33,88338,142838,204201,261610,228605,283708,932,5332,8621,12322,15782,13793,17113
34,86593,140017,200167,256446,212246,267386,913,5227,8450,12077,15468,12805,16127
开始领取年龄 35,84883,137250,196211,251385,196211,251385,895,5123,8282,11837,15160,11837,15160
=59 岁 36,83206,134538,192334,246423,184331,237426,877,5021,8118,11601,14859,11120,14318
37,81561,131879,188533,241559,168849,222013,860,4921,7956,11370,14563,10186,13387
38,79950,129273,184808,236793,153672,206905,843,4824,7798,11144,14273,9269,12475
39,78369,126717,181156,232121,138796,192093,826,4728,7643,10922,13989,8371,11581
40,76821,124214,177577,,124214,177577,810,4634,7491,10705,,7491,10705
41,75302,121759,174073,,112270,166832,794,4541,7342,10492,,6771,10058
42,73814,119354,170643,,98212,152818,778,4451,7195,10283,,5922,9212
43,72355,116995,167279,,84433,139082,762,4362,7052,10078,,5091,8383
44,70926,114685,163986,,70926,125618,747,4276,6912,9877,,4276,7570
45,69525,112420,,,59679,112420,732,4190,6774,,,3598,6774
46,68151,110202,,,46661,101614,718,4107,6639,,,2812,6123
47,66806,108027,,,33900,88892,704,4025,6507,,,2043,5356
48,65488,105899,,,,76421,690,3945,6377,,,,4603
49,64196,,,,,64196,676,3866,6249,,,,3866
50,62931,,,,,54018,662,3789,,,,,3254
51,61692,,,,,42237,649,3713,,,,,2543
52,,,,,,30687,636,3639,,,,,1847
53,,,,,,,624,3566,,,,,
