18,143182,231519,330979,423985,618751,687103,748740,804171,1531,8763,14168,20251,25939,37841,42015,45789,49182,49182
19,140355,226947,324438,415602,592286,660638,722288,777737,1501,8589,13887,19850,25424,36221,40394,44168,47562,47562
20,137584,222464,318024,407380,566338,634690,696356,751825,1471,8419,13612,19456,24920,34632,38805,42579,45974,45974
21,134866,218067,311735,399320,540905,609256,670935,726422,1442,8252,13342,19070,24425,33075,37247,41021,44417,44417
22,132201,213757,305568,391415,515976,584320,646015,701522,1413,8089,13078,18692,23939,31549,35720,39494,42891,42891
23,129589,209530,299522,383666,491536,559876,621585,677110,1385,7929,12818,18320,23463,30053,34223,37997,41395,41395
24,127027,205386,293592,376065,467580,535911,597637,653182,1358,7771,12564,17956,22996,28586,32756,36529,39929,39929
25,124515,201322,287778,368614,444098,512421,574160,629723,1331,7617,12314,17599,22538,27149,31318,35090,38491,38491
26,122051,197338,282076,361305,421080,489390,551146,606729,1305,7466,12070,17249,22089,25740,29909,33680,37082,37082
27,119636,193430,276486,354142,398515,466817,528585,584187,1279,7318,11830,16905,21649,24359,28527,32297,35701,35701
28,117267,189598,271003,347114,376399,444694,506469,562091,1253,7172,11594,16569,21217,23005,27173,30942,34347,34347
29,114945,185841,265628,340226,354720,423008,484788,540429,1228,7029,11363,16238,20794,21679,25846,29614,33019,33019
30,112667,182156,260355,333468,333468,401748,463535,519196,1204,6890,11137,15914,20378,20378,24545,28313,31718,31718
31,110434,178543,255187,326846,314940,380912,442700,498381,1180,6752,10915,15596,19971,19245,23269,27037,30443,30443
32,108244,175000,250117,320349,294480,360490,422276,477977,1157,6618,10697,15285,19571,17993,22020,25786,29193,29193
33,106097,171526,245148,313983,274422,340469,402256,457976,1134,6486,10484,14979,19179,16766,20795,24561,27967,27967
34,103990,168119,240273,307736,254763,320847,382630,438371,1111,6356,10274,14679,18795,15564,19594,23360,26766,26766
35,101926,164778,235496,301616,235496,301616,363392,419151,1089,6229,10069,14385,18418,14385,18418,22182,25588,25588
36 37,99900 97915,161503 158291,230808 226216,295611,221246,284854,344532,400313,1067,6105,9867,14097,18048,13515,17394,21029,23302,23302
,95968,155141,221710,289729,202644,266336,326047,381846,1046,5983,9670,13814,17686,12378,16261,19898,22193,22193
38 39,94059,152054,217295,283957 278305,184411 166542,248188 230399,307923 290163,363745 346001,1025 1004,5863 5745,9476 9286,13536 13264,17330 16982,11263 10170,15151 14063,17704,18790 21106,18790 21106
开始领取年龄 40,92187,149026,212964,272759,149026,212964,272759,328610,984,5630,9099,12997,16640,9099,12997,16640,20041,20041
=68 岁,90352,146058,208722,267327,134701,200089,257603,311561,965,5517,8916,12736,16305,8225,12212,15714,18997,18997
41 42,88552,143148,204559,262012,117820,183260,240851,294852,945,5406,8737,,15976,7193,11184,14690,17974,17974
43,,,,,,,,,,,8561,12479,15654,,10176,13686,16972,16972
44,86789 85058,140296 137498,200483,256799 251694,101276 85058,166767 150600,224429 208338,278476 262421,926 908,5298 5191,8389,12228 11981,15337,6182 5191 9188,,12703,15990,15990
45,83364,134758,196484 192568,246687,71576,134758,192568,246687,890,5087,8220,11739,15028,4369,8220,11739,15028,15028
46,81701,132070,188727,241783,55952,121809,180938,232985,872,4984,8054,11502,14724,3414,7430,11031,14192,14192
47,80072,129437,184966,236981,40638,106541,165714,217830,854,4884,7891,11269,14426,2479,6498,10101,13265,13265
48,78475,126855,181278,232273,,91576,150796,202970,837,4785,7732,11041,14134,,5584,9190,12358,12358
49,76910,124327,177667,,,76910,136177,188412,820,4688,7575,10817,,,4688,8297,11469,11469
50,75376,121847,174136,,,64724,121847,174136,803,4594,7422,10598,,,3946,7422,10598,10598
51 73873,,119420,170686,,,50593,110146,163638,,4501,7272,10383,,,3084,6710,9960,9960
52 72400,,117039,167302,,,36744,96338,149863,787 771,4409,7124,10172,,,2238,,5867 9120,5867 9120
53,70957,114710,163994,,,,82806,136368,756,4320,6980,9965,,,,,8296,8296
54 69543,,112425,,,,,,,740,4232,6838,,,,,5042 4232,7489,7489
,68159,,,,,,69543,123146,726,4147,6699,,,,,,6699,6699
55 56,66802,110192 108000,,,,,58529 45752,110192 99617,711,4062,6563,,,,,6057,6057,6057
57,,,,,,,33227,87129,,3980,,,,,,2784,2020,5296
,65474,105859,,,,,,,696,,6429,,,,,4550,4550,4550
58 59,64174 62900,,,,,,,74893 62900,682 668,3899 3819,6298,,,,,,,3819 3215
60 61,61654,,,,,,,52944 41387,655 641,3741 3664,,,,,,,,2512
62,,,,,,,,,628,3588,,,,,,,,
,,,,,,,,30060,,,,,,,,1822,1822,1822
