投保性别.保险期间.交费期间 投保年龄,男性.8 年.3 年交,男性.8 年.5 年交,男性.10 年.3 年交,男性.10 年.5 年交,女性.8 年.3 年交,女性.8 年.5 年交,女性.10 年.3 年交,女性.10 年.5 年交,女性.10 年.5 年交
0,3262,5373,3353,5521,3262,5373,3353,5521,5521
1,3262,5373,3353,5521,3262,5373,3353,5521,5521
2,3262,5373,3353,5521,3262,5373,3353,5521,5521
3,3262,5373,3353,5521,3262,5373,3353,5521,5521
4,3262,5373,3353,5521,3262,5373,3353,5521,5521
5,3262,5373,3353,5521,3262,5373,3353,5521,5521
6,3262,5373,3353,5521,3262 3262,5373,3353,5521,5521
7,3262,5373,3353,5521 5521,3262,5373,3353,5521,5521
8,3262,5373,3353,,,5373,3353,5521,5521
9 10,3262 3262,5373 5373,3353 3352,5520 5520,3262 3262,5373 5373,3353 3353,5521 5521,5521 5521
11,3261,5372,3352,5519,3261,5373,3352,5520,5520
12,3261,5372,3351,5518,3261,5372,3352,5520,5520
13,3260,5371,,5517,3261,5372,3352,5519,5519
14,3260,5370,3351 3350,5517,3261,5372,3352,5519,5519
15,3259,5369,3350,5516,3261,5371,3352,5519,5519
16,3259,5369,3349,5515,3260,5371,3351,5518,5518
17,3258,5368,3349,5514,3260,5371,3351,5518,5518
18,3258,5368,3348,5514,3260,5371,3351,5518,5518
19,3258,5368,3348,5514,3260,5371,3351,5518,5518
20,3258,5367,3348,5513,3260,5371,3351,5518,5518
21,3258,5367,3347,5513,3260,5370,3351,5517,5517
22,3257,5367,3347,5512,3260,5370,3350,5517,5517
23,3257,5366,3347,5512,3260,5370,3350,5517,5517
24,3257,5366,3346,5511,3260,5370,3350,5517,5517
25 26,3257 3256,5366,3346,5511,3259,5370,3350,5517,5517
27,3256,5365 5365,3346 3345,5510 5509,3259 3259,5370 5370,3350 3350,5516 5516,5516 5516
28,3255,5364,3344,5508,3259,5369,3349,5516,5516
29,3255,5363,3344,5507,3259,5369,3349,5515,5515
30,3254,5363,3343,5506,3259,5369,3349,5515,5515
31,3254,5362,3342,5505,3258,5368,3349,5514,5514
32,3253,5361,3342,5504,3258,5368,3348,5514,5514
33,3253,5360,3342,5504,3258,5368,3348 3348,5514 5514,5514 5514
34,3252 3252,5360,3341,5503,3258,5367,3348,5513,5513
35 36,,5359,3341,5503,3258,5367,3348,5513,5513
37,3252 3252,5359 5359,3340 3340,5502 5502,3258 3257,5367 5367,3347,5513,5513
38,3252,5359,3340,5501,3257,5367,3347,5512,5512
39,3251,5358,3339,5500,3257,5367,3347,5512,5512
40,3251,5357,3338,5499,3257,5366,3347 3346,5511,5511
41,3250,5356,3337,5497,3257,5366,3345,5510,5510
42,3249 3248,5355,3336,5495,3256,5365,3345,5509 5508,5509 5508
43 44,3247,5353 5351,3334,5492 5490,3256 3255,5364 5363,3344,5507,5507
45,3246,5349,3333 3331,5487,3254,5362,3343,5506,5506
46,3244,5348,3329,5485,3254,5361,3342,5504,5504
47,3243,5345,3327,5482,3253,5360,3341 3340,5503 5501,5503 5501
48,3241,5343,3325,5478,3252,5359,,,
49,3240,5341,3323,5475,3252,5358,3339,5500,5500
50 51,3238 3236,5338 5335,3321 3318,5471 5467,3251 3250,5357 5355,3338 3336,5498,5498
52,3234,,,5467,3249,,3336,5495,5495
,,5332,3318,,,5354,,5496,5496
53 54,3232 3232,5329 5330,3318,5468,3247 3248,5352 5352,3336 3336,5496,5496
55,3233,,3318,5469 5470,3248,,,,
,3234,5332,3319,,,5353,3336,5496 5496,5496 5496
56 57,3234,5333 5335,3319 3319,5471 5472,3248 3248,5354 5354,3336 3336,5496 5497,5496 5497
58,3235,5337,3320,5473,3249,5355,3336,5496,5496
59,3237,5337,3321,5472,3249,5354,3336,5495,5495
60,3237,5336,3320,5470,3249,5353,3335,5493,5493
61,3236,,3319,5467,3248,5352,3334,5491,5491
62,3234,5334,3316,5462,3246,5349,3332,5487,5487
63,3231,5331,3312,5456,3244,5346,3329,5482,5482
,,5327,,,,,,,
64,3228,5323,3307,5448,3242,5343,3326,5477,5477
65,3224,,3301,,3239,,,5471,5471
66,3220,5317,,5438,,,3322,,
,,,3294,,,5339,,,
,,,,,3236,,3317,,
,,,3285,,3233,,3312 3305,,
67,3214,,3273,,3228,,3297,,
,,,3260,,,,,,
,3207,,,,3223,,,,
68,3198,,,,,,,,
69,,,,,,,3288,,
70,,,3243,,,,,,
,,,,,3217,,,,
,3186,,,,,,,,
