年龄.年龄.年龄,昂贵医院100%赔付，1万元免赔额.有基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，1万元免赔额.有基本医疗保险或公费医疗.全球,昂贵医院100%赔付，1万元免赔额.无基本医疗保险或公费医疗.中国（含港澳台）,昂贵医院100%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球除美国,昂贵医院100%赔付，1万元免赔额.无基本医疗保险或公费医疗.全球
0,"5,225","5,564","7,557","5,331","5,731","7,743"
1,"4,884","5,200","7,064","4,981","5,356","7,238"
2,"4,651","4,952","6,728","4,746","5,100","6,893"
3,"4,493","4,784","6,499","4,583","4,928","6,659"
4,"4,335","4,617","6,270","4,423","4,756","6,424"
5,"4,179","4,450","6,041","4,262","4,583","6,190"
6,"4,021","4,280","5,815","4,102","4,409","5,958"
7,"3,865","4,113","5,586","3,941","4,237","5,723"
8,"3,704","3,946","5,357","3,781","4,064","5,489"
9,"3,605","3,837","5,211","3,679","3,953","5,339"
10,"3,503","3,731","5,065","3,575","3,843","5,190"
11,"3,404","3,623","4,919","3,471","3,731","5,040"
12,"3,300","3,517","4,773","3,367","3,622","4,890"
13,"3,200","3,408","4,627","3,266","3,510","4,740"
14,"3,245","3,456","4,693","3,313","3,559","4,808"
15,"3,291","3,503","4,759","3,358","3,608","4,876"
16,"3,336","3,553","4,822","3,404","3,659","4,941"
17,"3,349","3,600","4,889","3,417","3,708","5,009"
18,"3,363","3,648","4,955","3,431","3,757","5,077"
19,"3,376","3,770","5,117","3,442","3,883","5,243"
20,"3,383","3,889","5,283","3,451","4,006","5,413"
21,"3,451","4,012","5,445","3,520","4,132","5,579"
22,"3,485","4,131","5,611","3,555","4,255","5,749"
23,"3,587","4,253","5,774","3,659","4,381","5,916"
24,"3,761","4,459","6,052","3,837","4,593","6,201"
25,"3,932","4,665","6,333","4,014","4,805","6,489"
26,"4,109","4,870","6,612","4,190","5,016","6,774"
27,"4,280","5,076","6,893","4,366","5,228","7,063"
28,"4,454","5,282","7,171","4,545","5,440","7,348"
29,"4,619","5,476","7,436","4,712","5,640","7,619"
30,"4,784","5,670","7,701","4,877","5,840","7,890"
31,"4,945","5,865","7,963","5,047","6,041","8,159"
32,"5,110","6,059","8,227","5,214","6,241","8,430"
33,"5,275","6,253","8,492","5,379","6,441","8,701"
34,"5,352","6,346","8,616","5,458","6,536","8,828"
35,"5,431","6,436","8,740","5,537","6,630","8,955"
